Segment,TimeStart,TimeEnd,S1_RMS,S1_MAV,S1_IEMG,S1_WL,S1_ZC,S1_SSC,S1_WAMP,S1_PeakAmp,S1_Variance,S1_MNF,S1_MDF,S1_TotalPower,S2_RMS,S2_MAV,S2_IEMG,S2_WL,S2_ZC,S2_SSC,S2_WAMP,S2_PeakAmp,S2_Variance,S2_MNF,S2_MDF,S2_TotalPower,S3_RMS,S3_MAV,S3_IEMG,S3_WL,S3_ZC,S3_SSC,S3_WAMP,S3_PeakAmp,S3_Variance,S3_MNF,S3_MDF,S3_TotalPower,S4_RMS,S4_MAV,S4_IEMG,S4_WL,S4_ZC,S4_SSC,S4_WAMP,S4_PeakAmp,S4_Variance,S4_MNF,S4_MDF,S4_TotalPower,S5_RMS,S5_MAV,S5_IEMG,S5_WL,S5_ZC,S5_SSC,S5_WAMP,S5_PeakAmp,S5_Variance,S5_MNF,S5_MDF,S5_TotalPower,S6_RMS,S6_MAV,S6_IEMG,S6_WL,S6_ZC,S6_SSC,S6_WAMP,S6_PeakAmp,S6_Variance,S6_MNF,S6_MDF,S6_TotalPower,S7_RMS,S7_MAV,S7_IEMG,S7_WL,S7_ZC,S7_SSC,S7_WAMP,S7_PeakAmp,S7_Variance,S7_MNF,S7_MDF,S7_TotalPower,S8_RMS,S8_MAV,S8_IEMG,S8_WL,S8_ZC,S8_SSC,S8_WAMP,S8_PeakAmp,S8_Variance,S8_MNF,S8_MDF,S8_TotalPower,ConcentrationIndex,PatternStability,CoContractionRatio,FlexorExtensorBalance,S1_ActMap,S2_ActMap,S3_ActMap,S4_ActMap,S5_ActMap,S6_ActMap,S7_ActMap,S8_ActMap
1,0,20,0.004153547154564583,0.003223757839212648,0.06447580991761082,59.8953387702999,5863,9648,8,0.028572081450941388,1.7251953300289133e-05,134.125117029117,112.99885532156118,5471.755413549827,0.011083371401557763,0.00781363638459949,0.1562743107347689,123.63851664181254,4946,8546,1123,0.10433442266371147,0.00012284112159822305,113.46386593624656,99.29899410115951,38961.18663016677,0.0266962003689281,0.016577803345010755,0.3315594255632738,261.97441093853206,4720,7991,5663,0.2549021224798981,0.0007126871132606378,117.47849000016078,106.14892471136035,226041.04603273212,0.009187418111936777,0.0066871196954601895,0.13374374871969483,117.00226055714582,5379,8559,946,0.06686249463155294,8.440865068242264e-05,132.0811363930319,118.54879910062901,26771.663687278775,0.00741231749088154,0.005281357387570841,0.1056282177544557,91.84104819441008,5424,8941,327,0.06117673837893659,5.494245041074678e-05,124.66202987757275,105.64892977630919,17425.948565153656,0.005729296436569923,0.0036498240745038864,0.07299722094445746,60.46708499873335,5585,9610,196,0.05481458294402753,3.28248356862306e-05,112.24189890882654,91.89906906240242,10410.96444200006,0.003236292988961024,0.002391141303383156,0.047823310512905746,43.57515784672993,5967,9941,1,0.02707858372143629,1.0473591765522189e-05,124.79347968122387,100.39898295827206,3321.880802125364,0.0044767776385143026,0.0032219832683383887,0.06444031814059756,60.678842380761466,5923,9821,47,0.035393620361340555,2.0041533780187257e-05,137.51881788276992,118.59879859413412,6356.519117466915,0.20374191829398902,0.9856218123329856,0.40795120246561195,2.4512735688879226,0.057708014823690514,0.15398870828628214,0.37090820671995345,0.12764695833835304,0.10298429552475695,0.07960095585469618,0.04496398784723717,0.062198872605030535
2,20,40,0.004392260339455891,0.0034312532379300077,0.06862303517233082,64.44196296101872,5974,9703,8,0.02319920193072424,1.9291950670582944e-05,135.3899458426924,112.90333911621998,6118.289989914466,0.0109701368381192,0.00785031653446895,0.15700168722719665,124.88823682845721,5080,8580,1062,0.07151145342931099,0.00012034390202526901,112.81820989830965,97.75289104172279,38166.11931478685,0.022880683895716174,0.014667772161711974,0.2933467672470952,228.7004974563443,4823,7968,4854,0.18205405200753483,0.0005235256677291158,114.50790375823357,103.60306406058804,166032.03621158487,0.009907659564497212,0.007381407359123677,0.14762378108006557,127.25071297888782,5347,8434,1008,0.06492492515083542,9.816171747740077e-05,127.70552272895883,114.05337312847554,31131.214447411054,0.011285787454396972,0.007965969900862194,0.159314686146096,132.79550994904497,5202,8424,1360,0.0858111095381357,0.0001273689983884512,120.93387448820475,104.70309659404988,40394.0732159225,0.006557808254028492,0.004210253098636123,0.08420257160804026,69.74641342502132,5428,9393,323,0.052360000190905254,4.300484909659178e-05,114.18689125547127,96.30284815670491,13638.648690236834,0.0036086888035424553,0.002574964576500396,0.051497768438476595,46.7430833808342,5964,9939,14,0.042818074664999525,1.3022634866628815e-05,123.29556775770462,100.85298272693343,4130.025931918818,0.0046526575901677655,0.0033655351762479015,0.06730871281092177,64.25771493932515,6074,9881,57,0.058799589007721934,2.164722260214129e-05,138.23539589103473,117.7034810804171,6865.2459058008335,0.17525995153866433,0.9990299990262718,0.5421503751834017,1.8445067010452854,0.05915049431084629,0.14773464377859688,0.3081337757792131,0.13342628064168724,0.15198550518920861,0.08831389076303832,0.048598149937987375,0.06265725959942224
3,40,60,0.00419382409521997,0.0032350642048260925,0.0646993705560644,59.23631106955959,5831,9522,6,0.023412091600553624,1.7588159839690012e-05,131.9172301956804,112.7033332010451,5577.946166546952,0.011380292623097855,0.007927559439297134,0.15854649963458262,126.84616025826337,5013,8512,1278,0.13017381821386104,0.00012951104583418648,115.82859430487328,102.05301821798272,41073.40666793822,0.023971759876460504,0.014991033535598232,0.2998118035157196,235.13319206947892,4731,7895,4806,0.22804501424559281,0.0005746451742140145,116.12898781875667,106.4531483518301,182244.1844881631,0.010100990750747548,0.0074397352608260294,0.14879030461315912,129.6849072791894,5384,8567,1183,0.05631315338915001,0.00010203001380212934,129.8018942567708,115.75342340746202,32358.01411561146,0.012350005154879674,0.008646772401289231,0.17293033345996192,145.75193206992017,5163,8416,1774,0.23230820284499143,0.0001525226268307879,124.6128312369328,108.40320602478518,48371.34807716525,0.006144570968300351,0.0038443482801034973,0.07688469167008567,64.89901400802114,5576,9559,279,0.10460031106024814,3.775575215794779e-05,116.39482227812535,97.35287921137304,11973.938998397996,0.0032887380688033114,0.0023795760204939633,0.04759011289067763,43.306278921775565,5967,9993,7,0.027820171126188776,1.0815797293774458e-05,124.91803445317028,100.95298568452088,3430.1448021194133,0.003962381920665756,0.0028377214038590916,0.056752749564988735,53.27408359143175,6028,9959,28,0.03851302961031108,1.570046968828367e-05,134.15169016861353,112.25331989190163,4979.280124184498,0.18306862838539234,0.9932956551296082,0.518576447804199,1.9283559911644388,0.05562649554351007,0.15094715050259863,0.31795920946180795,0.133978608597799,0.16380932798141298,0.08150102193711896,0.04362151806428207,0.05255666791147035
4,60,80,0.0038552925720896376,0.0030009234288671735,0.06001669353115357,55.75785456183776,5864,9886,4,0.02295707844226152,1.4863277687425785e-05,133.44308561698415,111.90330954034557,4713.771284464327,0.010201739944115173,0.007166433080346332,0.14332442266180326,113.12194995017147,5069,8662,879,0.08821623149504076,0.00010407549280623661,112.16243047357102,96.5028540718798,33006.721648048435,0.029202293821187702,0.01755581620615326,0.35110593985788613,277.449346882989,4826,7918,5884,0.3023090351206915,0.0008527739563878991,115.98672429092771,106.7031557457987,270450.53401384124,0.010918087513956797,0.008000949134097783,0.16001425012059156,140.2624199711361,5466,8488,1479,0.10324017666678745,0.00011920463372270516,130.22220924158816,118.00348995317944,37804.809358607454,0.011725956956116407,0.008572791371417,0.171450756622296,147.15559892702726,5312,8409,1610,0.06621502541025026,0.00013749806583465013,124.88351705818131,111.15328735843978,43606.427063465,0.006474918571130894,0.004306252139031935,0.08612249563252469,72.98670531454879,5426,9292,346,0.05525347858217629,4.1924570470780376e-05,120.69079516694036,100.60297533296483,13296.046844758408,0.0037534750802047045,0.0026278670048960223,0.05255578571460305,47.74813614553423,5889,9885,42,0.03915889017849463,1.4088575089083803e-05,127.61191546674036,105.05310694560593,4468.080465866913,0.004572077326344722,0.0032131869076417,0.0642618375527977,59.746277185842665,5782,9893,90,0.03319305594359982,2.0903891077422955e-05,136.38527803440192,118.75351213508523,6629.504175763817,0.20041615534993598,0.9996988102256261,0.4896215239542313,2.042393871747921,0.04777086798858223,0.12640959486507192,0.3618451510515642,0.1352858460322558,0.14529614324103504,0.08023061142948758,0.046509249091231636,0.05665253630077171
5,80,100,0.004154316329234288,0.0031789978513659272,0.06357807665010881,60.596299867025266,6064,9844,17,0.031142371282053005,1.7258343902126157e-05,136.2622655303108,115.35341157711227,5473.347643371783,0.011233306284202866,0.007763533161914097,0.15526607110846394,121.52340193872158,5043,8558,1088,0.10317115933770767,0.00012618716992661243,110.25472158329346,95.80283336876771,40019.26564092233,0.03300457148070684,0.019721898638770993,0.39442630727249517,305.7838400412853,4766,8017,6527,0.3365833485784949,0.0010893016880734574,114.05170744107672,104.30308476370013,345463.4385054324,0.01226418995520057,0.008893138189429077,0.17785750349739665,155.53071364069905,5438,8444,2078,0.09065592560417436,0.00015041035525374202,130.16051048654694,118.10349291076687,47701.45780704722,0.012880520178692291,0.009362937310089438,0.18725320802442685,159.28655960828235,5249,8320,2157,0.10036559653194815,0.0001659077998407926,123.92868303422635,112.90333911621998,52616.35012173613,0.007186892369386534,0.004719462321862929,0.09438645487532393,81.78588323577677,5626,9346,484,0.05108475631389967,5.165142164792794e-05,122.91071921722947,104.25308328490641,16380.840975052104,0.0049322000925796335,0.0032811545555864845,0.06562115030883003,58.24014139231241,5733,9578,156,0.053762762380762046,2.43265961756418e-05,126.11031059028754,108.60321193996005,7714.988101077461,0.004621778654452348,0.0032581463493580537,0.06516099979361527,61.27452665494755,5914,9964,115,0.04046484596440172,2.136083768750621e-05,136.56665879680912,116.9034574197176,6774.421188985333,0.20201089169331554,0.9996601398589213,0.4883474634922767,2.047722318139603,0.0460170436564644,0.12443047296349652,0.3655891093325872,0.13584949239617927,0.1426765350557941,0.0796086560835699,0.05463360249807658,0.05119508801383203
6,100,120,0.00399203800031627,0.003100101138573708,0.06200265085198371,58.35924634621566,6021,9747,6,0.024491932088320432,1.5936367391387482e-05,136.47043347399625,116.24882239939369,5054.494592022885,0.010204788181896018,0.007144398935864501,0.14288942617255793,114.06544154431487,5152,8822,852,0.09733734521702482,0.00010413770173563249,112.885378884745,99.04899663363393,33029.07347963331,0.028234472815760116,0.017144563792074477,0.34289474933021824,264.02367861500244,4709,7942,5579,0.35161844150414007,0.0007971854546468629,113.60639175740606,103.39895256857899,252841.15665553245,0.010915829698577842,0.007955783825464472,0.15911728835114095,138.587732339234,5327,8398,1536,0.09244027803875052,0.0001191553378284462,130.32518574892083,118.39880062011366,37792.17654202948,0.01117384379022435,0.007848511434932886,0.15697181880712224,132.2339647899824,5259,8356,1442,0.08586791388012727,0.00012485478483875777,121.30288858726054,110.04888520475936,39599.85476381006,0.006665001386845734,0.004221997458949855,0.08444080455570799,72.70145870565526,5639,9531,450,0.04802146557005148,4.44222420685318e-05,121.5183106634023,103.7489490231148,14089.282500372261,0.004438071063301029,0.002966374493651078,0.05932809086051204,53.285945076008446,5876,9780,105,0.038699960430690294,1.9696474604608583e-05,126.44178372286152,109.69888875022355,6247.077631020794,0.0042094252755829915,0.0029834312875398226,0.05966923019399348,57.02082733258931,6131,10006,68,0.044363619335237456,1.771926114221787e-05,139.17762187306698,122.0987631394922,5619.97018367837,0.19504674887300422,0.9980606022925524,0.49649047967724774,2.0141373116561416,0.050004565625045266,0.1278259376015154,0.3536671115586522,0.13673249665236387,0.13996440040100105,0.08348630429197842,0.055591609026734906,0.05272757484270886
7,120,140,0.004339585288983974,0.0033484045076947406,0.0669661095726489,62.720713031401125,5978,9671,12,0.024031925664890815,1.883200000952353e-05,136.30437373092224,116.50344558936783,5972.420265620311,0.012191355465279335,0.008496955038579418,0.1699340748227348,134.0859421698775,5036,8583,1498,0.09488820495747764,0.0001486291475054541,112.39144630086925,99.0029280115658,47136.561818953815,0.03198508555485774,0.019297833686848776,0.3859452590684673,303.8368360009964,4822,8003,6494,0.27793467191389615,0.0010230456977595264,116.51491740972838,106.4531483518301,324450.87377149274,0.011729201470663666,0.008450067115186317,0.16899634408907918,147.47487747810828,5445,8429,1853,0.06855521821667565,0.00013757416634716785,130.80251998828092,118.00348995317944,43630.56174076721,0.010787630467969484,0.007574092125445858,0.15147736243347107,124.99705403603683,5126,8392,1133,0.0901411349555083,0.00011637296220657045,117.21065501889836,105.20311138198709,36906.767072074406,0.006251497313447631,0.0038443954326894815,0.0768856346939146,66.66649341093003,5770,9532,334,0.05428914506596953,3.908121287587874e-05,118.83524373970654,100.05295906623391,12394.298410518384,0.0041708380001113,0.00282106796493859,0.056419690637087724,51.03972565055929,5893,9835,74,0.04043885468163384,1.7395888698533307e-05,125.95948245261249,105.20311138198709,5516.968890667729,0.004317927139082301,0.0030873370753059528,0.06174491534625781,58.79191431590173,6095,9921,66,0.0361387516807051,1.864449470275142e-05,138.03740657641782,119.25352692302243,5912.954436525645,0.20654747261444986,0.9995944819867079,0.4237330301733309,2.3599765153803167,0.050593767063018456,0.14213491785921611,0.37290336755475284,0.13674681968997765,0.12576935967679848,0.07288410707690164,0.04862639911027595,0.05034126196905873
8,140,160,0.004364910122984006,0.003350053753696336,0.06699909351715182,62.51499537429563,5853,9747,24,0.03430143499690484,1.9052439284675526e-05,135.62391343031393,115.90342784384319,6042.330843019986,0.012388865669603094,0.008739299460610283,0.17478081991662792,139.80689729733052,5083,8516,1585,0.09699450832066658,0.00015348399097778697,114.90650084072202,99.95295610864648,48676.2371336263,0.03127488309383746,0.019166379663559698,0.3833162563577397,303.14718015861433,4864,8037,6556,0.28178547931925824,0.0009781183117695106,117.1222234618201,107.90319123684797,310202.50766951614,0.011965343999716454,0.00861562263226356,0.1723073565045367,152.32620805380984,5518,8519,2047,0.09925368905591875,0.0001431694563623796,132.36224729585558,119.90354614734079,45405.06383624163,0.01151280506667721,0.00812341201871668,0.162463435376174,134.8326102186796,5124,8405,1460,0.08027439428259549,0.00013254467663361815,118.41089914994909,107.05316609735473,42035.49874821504,0.00634980212390999,0.003937328693575217,0.07874424494160606,67.26671936874358,5682,9653,334,0.06253783182356414,4.0319983101222315e-05,118.95590794682995,100.10296054502764,12787.164616685948,0.004201074758989858,0.002846847168743321,0.05693525946478344,51.226093203694724,5968,9893,74,0.041956283243866604,1.764902895170487e-05,126.24253292707304,106.40314687303636,5597.250325317343,0.00392657055387745,0.002873951795983988,0.057477335977209935,54.693177052795555,6141,9885,25,0.028429925637686787,1.5417956270463783e-05,136.80712296646703,117.95348847438571,4889.683222047505,0.20285358944398915,0.9998878547317879,0.43321417563651876,2.308327049849434,0.050764062597350584,0.14408295580939814,0.3637280215096433,0.13915738347097803,0.13389433931261688,0.0738484283563191,0.04885865138861465,0.04566615755507935
9,160,180,0.004305860748111871,0.003310740859141734,0.06621285887963665,62.0225413742515,5979,9637,22,0.024456116986122142,1.854043566201307e-05,136.79115116284427,117.75348255921084,5879.9529325211615,0.012253249978873221,0.00851583228145654,0.17031160851438817,135.5568489261836,5118,8619,1471,0.09982797929186912,0.00015014213504365356,113.75764685350116,100.55297385417111,47616.39388300457,0.0314882974197531,0.018618937130098698,0.37236772950077485,291.74207573468766,4719,8034,6012,0.29421566667190246,0.0009915128672320884,116.46173951672864,106.35314539424265,314450.4852849166,0.011919101493010167,0.008473810625199212,0.16947120024505105,148.1631692170891,5398,8399,1961,0.08389244289856448,0.00014206497887902592,131.17822164719252,118.10349291076687,45054.78751396216,0.011615481349789803,0.008265652464984109,0.16530816016629946,135.9879280092169,5146,8193,1448,0.091720899542134,0.0001349194064570472,117.54924742198155,105.45311877595569,42788.62558103408,0.005997240414089806,0.0037378629283893955,0.07475504762188853,64.52619661169703,5713,9656,327,0.04858060932350366,3.596689257952027e-05,119.76373392855822,101.30299603607692,11406.616292729635,0.0039030753418479143,0.0026667266489049457,0.053332955609302325,48.092306968544584,5929,9948,60,0.03481508274583389,1.5233997102607647e-05,124.78280555234282,104.10307884852524,4831.342022939868,0.0037157853089929945,0.002754275948632159,0.055083889818436337,52.663235075775,6076,9949,17,0.038034489970406454,1.380706029671953e-05,136.99411467828818,117.15346481368618,4378.800269916509,0.20694955052000308,0.9985462937228547,0.4207612309987765,2.3766448197384134,0.05053940345705214,0.14382070869661576,0.36958923211123074,0.13989869028275942,0.1363349937738487,0.07039172203827813,0.0458117693451703,0.04361348029504484
10,180,200,0.00420993474186519,0.003243827155264935,0.06487462438155611,60.88183340955678,5946,9746,13,0.02088316632823798,1.7723549199969078e-05,135.9373101049594,116.55344706816155,5620.883834275878,0.012027932813404234,0.008354701786342598,0.1670890939207962,130.75867371392923,4968,8606,1379,0.09855926755873087,0.00014467116290794898,111.89376931045035,97.95289695689767,45881.318222458576,0.030587814198913307,0.01877838921305288,0.37555667684395244,296.41830618644957,4662,8030,6331,0.31532556809608714,0.0009356143640874705,118.03243603781323,109.35323412186585,296722.7159120445,0.011502168973898707,0.008299463748446558,0.16598436583617449,144.94803750372807,5373,8353,1721,0.07288394323441404,0.0001322998827144757,130.82338191747507,120.35355945648428,41957.86428757105,0.010386282174664231,0.007295507907417671,0.1459058428554706,121.31722620139547,5194,8365,1032,0.06914874500943693,0.00010787484781390687,117.48392529605896,105.80312912751172,34211.65712131844,0.007268419290468213,0.004591728160990248,0.09183184721262569,77.75320390455086,5532,9324,555,0.06502697905732024,5.2829918812538686e-05,120.21093084739826,102.35302709074504,16754.59205541201,0.004728420246092521,0.0031605122970053924,0.06320837649710342,55.911094673909105,5673,9580,146,0.03711069573629201,2.235795798451622e-05,126.14035001341996,107.80318827926054,7090.650026395716,0.0042328675326670775,0.0030688958263113677,0.061376101274364776,57.80458536557986,5931,9958,51,0.031296073565382054,1.791716754713316e-05,136.84766365709407,118.4035017835292,5682.288365914254,0.19836430281225279,0.9989136269990475,0.45631698942539656,2.191459058447988,0.04956138953989157,0.1415986470281159,0.36009455434326376,0.13540910062099562,0.12227234109137401,0.08556735006171569,0.05566525186114289,0.04983136545350054
