Window,TimeStart,TimeEnd,S1_Envelope,S2_Envelope,S3_Envelope,S4_Envelope,S5_Envelope,S6_Envelope,S7_Envelope,S8_Envelope
1,0.0,0.2485588,0.005103848225896844,0.004843566745489414,0.010909771953027747,0.025745123291378853,0.005727434200880179,0.006379398801608023,0.002583155007463989,0.004375687417977239
2,0.2493529,0.4979118,0.0050336793925095154,0.005262085674739309,0.011490018052223857,0.020921507168954776,0.005948799951485651,0.007285469378418508,0.002923942837247267,0.004377936444994035
3,0.4987059,0.7472647,0.006477104731425058,0.005999755451320849,0.013423269531849663,0.031543570667205464,0.00904438037429908,0.007106020410629669,0.0036413343516284286,0.005871569072758462
4,0.7480588,0.9966176,0.005768491556973118,0.004245891524733426,0.010717589126526551,0.028124324775134095,0.005715696826138115,0.006171916756398646,0.00305477929803684,0.005474717749361721
5,0.9974118,1.2459706,0.006076271920919707,0.0048332123945155495,0.010514302234402407,0.02823485449944466,0.008518421155663944,0.006141453352743089,0.0037345565910870196,0.005367304362031964
6,1.2467647,1.4953235,0.005527139711559591,0.005261890570778427,0.012969798708533103,0.027952703855080915,0.007065744159628065,0.0056159574840972636,0.0030939876180020023,0.00505002576909535
7,1.4961176,1.7446765,0.004922398179303009,0.00459572757792675,0.011871627031790377,0.02243291409954908,0.00551737083251462,0.006551424180164643,0.0028511260271589433,0.004283559493164783
8,1.7454706,1.9940294,0.00622562292110947,0.005983468276653873,0.013568793432763944,0.023704658521000933,0.00724046471021522,0.008242155923440455,0.004182489441806638,0.005408935060028778
9,1.9948235,2.2433824,0.006103093084143276,0.005475246879394294,0.012701578737946388,0.027356444602694905,0.0060120720138051335,0.006451398978874347,0.0029708153784902733,0.004858236430371246
10,2.2441765,2.4927353,0.005474754798867283,0.006356195276629901,0.013765381034384228,0.028134236614955652,0.006370538294343696,0.00708445432158026,0.003403459335926851,0.005270022084920156
11,2.4935294,2.7420882,0.00573519999539203,0.0066935470393052,0.014169095873883677,0.028120461020314482,0.008041464079452615,0.006109264937544767,0.004284545484586432,0.005763561498140659
12,2.7428824,2.9914412,0.006032686378762693,0.0056618489609729155,0.013040250317977028,0.027593040734849316,0.005161619158305399,0.006096888425633459,0.0031785620092087304,0.004835976749241264
13,2.9922353,3.2407941,0.005871441424145045,0.006300516623403709,0.012639236471527105,0.024669833054631468,0.0062419579648313505,0.0063888307330054826,0.003796263355378578,0.005300819325269867
14,3.2415882,3.4901471,0.006589597677498018,0.006280911152524142,0.014649034261541682,0.02797294536519673,0.007004599535035607,0.0062890369477052845,0.0034187165418710715,0.0055336281687855034
15,3.4909412,3.7395,0.005505902060607787,0.005247353990862678,0.012511013333968552,0.02910014925871872,0.005860758605682016,0.006661215237097307,0.0028340462780358762,0.004969121080028852
16,3.7402941,3.9888529,0.006581180267155622,0.00642623816854326,0.015021838628133336,0.028765498734858806,0.007513248336901456,0.006257672837735088,0.004099423153242718,0.0060584206515425475
17,3.9896471,4.2382059,0.005342873874714432,0.004969182689583715,0.012018790616316994,0.028825538738089504,0.005561277086638015,0.005650980980957068,0.003080779574925669,0.005213263016767757
18,4.239,4.4875588,0.006744185607166653,0.007704568770958748,0.015662621925160335,0.03003991676981058,0.009099490636224653,0.00661852796111963,0.004552895292466323,0.005859918596407115
19,4.4883529,4.7369118,0.007948322403970642,0.006839680963497798,0.015804835458474588,0.031040979207192062,0.007086079676958085,0.00609557832032503,0.0038037248677643665,0.006317310465995862
20,4.7377059,4.9862647,0.005634437165137085,0.006311733899472772,0.013867537972083047,0.023418673176544582,0.0047315681581795235,0.005813283042243646,0.003652202542563982,0.0053697036975501045
21,4.9870588,5.2356176,0.005896510200799605,0.0061958269853037515,0.013586072455211932,0.02574494029197374,0.007019384490055104,0.005478797578674625,0.004037083399351987,0.0058358290159899314
22,5.2364118,5.4849706,0.006220348306910199,0.005093644218056291,0.012117760650124348,0.02395975471332763,0.00513294147846525,0.0054065370079654515,0.003400286318460132,0.00614800302419183
23,5.4857647,5.7343235,0.005357057671592819,0.004445553457880613,0.010123814734164233,0.02152568456345693,0.004578682390631816,0.005761389166658539,0.0029684408539781947,0.004775999800294634
24,5.7351176,5.9836765,0.005788743256194125,0.006365959838058212,0.012327862302788173,0.019181989442326557,0.006119895241691363,0.005765246325234493,0.0037780286337968237,0.004721445266207111
25,5.9844706,6.2330294,0.005712254301715939,0.005678365718615332,0.012393757950556323,0.024328273318505848,0.004968959580199958,0.005419833153664725,0.0031954607542633126,0.004869240218120739
26,6.2338235,6.4823824,0.005089940509733189,0.004892964599814093,0.011904433694892606,0.02195545980251175,0.00524845693943042,0.005504616596560672,0.0030359538236132415,0.0046528055659324765
27,6.4831765,6.7317353,0.0064051204956303434,0.0060670147064002655,0.014289692654560197,0.026270274877601262,0.007066446942925458,0.005351476258741508,0.003823187160297818,0.006154817187110977
28,6.7325294,6.9810882,0.005336796508489557,0.004861135642355163,0.012807393790650068,0.027956825781259704,0.00489107882726693,0.00559379093659001,0.0026629319709153996,0.004794855318063398
29,6.9818824,7.2304412,0.006101814019048924,0.005761379143047956,0.01213272711227402,0.022148507752222966,0.007083576368622551,0.005842459697596422,0.004427015295020838,0.005657884315768765
30,7.2312353,7.4797941,0.006010014667238229,0.005178704401909773,0.012568874288060443,0.028302826279410564,0.006354304152837684,0.00640381567644872,0.003684244962981248,0.004880913645256138
31,7.4805882,7.7291471,0.006031292390827699,0.004627568174825248,0.011475783797652104,0.02209421329951749,0.004923287204192325,0.006112319110377644,0.003281124015609871,0.00456269880204488
32,7.7299412,7.9785,0.006434412332289143,0.00606600528231392,0.012831199505275512,0.026884136980571252,0.008039343159881448,0.005890034018716999,0.004185049287057549,0.006358372476271367
33,7.9792941,8.2278529,0.005158230902096345,0.005195712082867933,0.012138608267508762,0.028529176367115112,0.006823192141061245,0.006054948703236898,0.0033236916088271794,0.005753948557172766
34,8.2286471,8.4772059,0.006867488747957781,0.005472870871591885,0.012628978698925299,0.0269333525310745,0.009521787640952798,0.006719023390428263,0.003622682904888015,0.005713224101759525
35,8.478,8.7265588,0.005488459548592471,0.005582726580530851,0.011965732870022361,0.021673884203539957,0.005679903925776658,0.006376860296915836,0.003387613657688879,0.005529671147876641
36,8.7273529,8.9759118,0.00503366730628257,0.004666891459395858,0.010147765105145881,0.020840976124160263,0.005296139226995403,0.006863981539216557,0.003283031593929864,0.005249457685515478
37,8.9767059,9.2252647,0.004355274063500108,0.004719296778778014,0.010051136451046199,0.022819440963984715,0.008324764782181712,0.00627174345867416,0.003667185011899808,0.0044177511577675336
38,9.2260588,9.4746176,0.005306520058287342,0.004713538164784363,0.011988524591083304,0.030047052551215914,0.006683374035975145,0.007149338930821734,0.0026325740724729855,0.0046522552574155005
39,9.4754118,9.7239706,0.004581836040658767,0.004576340312632649,0.0105859872669168,0.02077960422845734,0.005866151904015307,0.006496334552101832,0.0024669945774564014,0.003912098168474552
40,9.7247647,9.9733235,0.006032431976441897,0.0048103751600856405,0.01011789255475196,0.02466168141193899,0.007060827843788025,0.006660910587449845,0.0027618498996411344,0.0043874745058954485
41,9.9741176,10.2226765,0.005122091124313485,0.004489261440129753,0.009696060976564901,0.023197912695151333,0.005648995590104619,0.006803893977232167,0.0027659023698636894,0.0037492387335378084
42,10.2234706,10.4720294,0.006481193089771651,0.0061622287039037335,0.013725726883183919,0.025834848343620154,0.008369478690897944,0.007128045354261682,0.0033485837562869263,0.005201886770397841
43,10.4728235,10.7213824,0.006301204782374876,0.004856445283475197,0.00959793412020206,0.023409853626500648,0.005764945938090281,0.005877145663924127,0.0029559292166303525,0.0048487009928414
44,10.7221765,10.9707353,0.005866970504548008,0.004927461170499054,0.009729825150374145,0.01793086098183034,0.004725232863515071,0.006349366136920739,0.002949363245869542,0.004968902835528983
45,10.9715294,11.2200882,0.0061364775259496965,0.005958019262223703,0.011306982654246117,0.022565156864037726,0.006527187210589269,0.006538344599145084,0.003622734070145317,0.0053457819685475624
46,11.2208824,11.4694412,0.0064035086833370836,0.005364735459611173,0.011114958605361169,0.02518528977557839,0.0047915565197093855,0.006090434055095154,0.0028691407932027275,0.004481628106168439
47,11.4702353,11.7187941,0.004719196827977561,0.005145121921746127,0.010665819512960133,0.0174369434218516,0.004783937387253383,0.005762673336906412,0.0032809305500634675,0.004242284251356707
48,11.7195882,11.9681471,0.005089754675308695,0.005295250415608761,0.011946406834860906,0.01901521297911498,0.005805125760842089,0.0058787478613124226,0.003432119515689964,0.004488600658406924
49,11.9689412,12.2175,0.005496949395912436,0.00406826803044407,0.009603653889753896,0.019222764910408485,0.004559499379921964,0.005787922015199651,0.002611543449715704,0.004297449767481621
50,12.2182941,12.4668529,0.005288215086603506,0.005105121718065597,0.010967690319340648,0.019966954978301102,0.005196809407667706,0.005616591020851506,0.0037954505082505785,0.005199982837992058
51,12.4676471,12.7162059,0.006255222397711577,0.006798573983207507,0.014943236238606777,0.02610465389073889,0.006307416411819623,0.005482743917780071,0.004256211267618378,0.006171227913385902
52,12.717,12.9655588,0.0052850112762691265,0.005404144862571884,0.012835108150807475,0.020115671858379407,0.00470343734339539,0.006355987847921231,0.0029760367393459014,0.00448037907820934
