Segment,TimeStart,TimeEnd,S1_RMS,S1_MAV,S1_IEMG,S1_WL,S1_ZC,S1_SSC,S1_WAMP,S1_PeakAmp,S1_Variance,S1_MNF,S1_MDF,S1_TotalPower,S2_RMS,S2_MAV,S2_IEMG,S2_WL,S2_ZC,S2_SSC,S2_WAMP,S2_PeakAmp,S2_Variance,S2_MNF,S2_MDF,S2_TotalPower,S3_RMS,S3_MAV,S3_IEMG,S3_WL,S3_ZC,S3_SSC,S3_WAMP,S3_PeakAmp,S3_Variance,S3_MNF,S3_MDF,S3_TotalPower,S4_RMS,S4_MAV,S4_IEMG,S4_WL,S4_ZC,S4_SSC,S4_WAMP,S4_PeakAmp,S4_Variance,S4_MNF,S4_MDF,S4_TotalPower,S5_RMS,S5_MAV,S5_IEMG,S5_WL,S5_ZC,S5_SSC,S5_WAMP,S5_PeakAmp,S5_Variance,S5_MNF,S5_MDF,S5_TotalPower,S6_RMS,S6_MAV,S6_IEMG,S6_WL,S6_ZC,S6_SSC,S6_WAMP,S6_PeakAmp,S6_Variance,S6_MNF,S6_MDF,S6_TotalPower,S7_RMS,S7_MAV,S7_IEMG,S7_WL,S7_ZC,S7_SSC,S7_WAMP,S7_PeakAmp,S7_Variance,S7_MNF,S7_MDF,S7_TotalPower,S8_RMS,S8_MAV,S8_IEMG,S8_WL,S8_ZC,S8_SSC,S8_WAMP,S8_PeakAmp,S8_Variance,S8_MNF,S8_MDF,S8_TotalPower,ConcentrationIndex,PatternStability,CoContractionRatio,FlexorExtensorBalance,S1_ActMap,S2_ActMap,S3_ActMap,S4_ActMap,S5_ActMap,S6_ActMap,S7_ActMap,S8_ActMap
1,0,20,0.007788564846548461,0.005798373167069762,0.1159686380918342,92.00139755144801,4982,8974,274,0.04955000147575075,6.0661730779372136e-05,112.46300847225436,92.59906197147403,19239.917243299482,0.007111854637340222,0.005387807383776204,0.10775723924533284,87.41685186321888,5070,8883,180,0.04465447950793526,5.057846055732089e-05,115.5546181321757,96.049027023327,16041.833675753838,0.01575918088388092,0.011839123532840131,0.23678486926330247,180.4872205784392,4652,8499,2830,0.08761160758709216,0.000248351738667847,107.66600213032234,87.19911667292155,78769.04993134926,0.033346172102760085,0.024354016772711543,0.48708526957817727,332.7677087425528,4162,7191,8391,0.21466258763987134,0.0011119671021725124,97.93386218224097,85.64913237426296,352679.6013171197,0.008325459599641299,0.006159008948554444,0.12318142678633937,82.45941243405552,4298,8256,154,0.0628914725137192,6.93132768266442e-05,91.05187663156244,74.59924430963243,21983.90473301344,0.0074158997374261185,0.006037824928014992,0.12075772182366702,65.89514584840788,2995,8159,81,0.05372639454676553,5.499553931588556e-05,78.38738950490752,49.949494011610454,17442.78661395214,0.0045936741396876484,0.003423552845252295,0.0684717505168732,59.52739446077501,5545,10043,45,0.037021228379187254,2.110184034745172e-05,119.65767107123482,91.89906906240242,6692.813694717887,0.007681022855540369,0.00532776989973641,0.10655647740094233,90.33357550997361,5244,9287,408,0.15415604698384694,5.899810010696075e-05,119.68931292248938,98.99899714012882,18712.26799816381,0.19791741090815984,0.9998038748664091,0.4377114008770839,2.2846103574094827,0.08463823147045897,0.07728443055156804,0.17125481083024405,0.3623724124654251,0.09047265967165502,0.08058848464440044,0.04991939629379132,0.083469574072457
2,20,40,0.007525072984883305,0.005531475867005246,0.11062624547216328,86.74473799113294,4917,9057,210,0.04780591226295991,5.6626721003465295e-05,108.89705710764181,86.60256127072321,17958.717922987104,0.006263167642352604,0.004760783749404835,0.09521285898453793,77.30780204690893,5123,9049,74,0.04443149478414473,3.9227268560626695e-05,113.76446640517783,90.50267661663338,12440.618818921983,0.013790449359921589,0.010358975469913096,0.20717338206433455,154.15777959681378,4601,8604,1960,0.08233533342345706,0.0001901764866434288,104.73138086073793,82.90245183998792,60312.97272192505,0.029804193476407257,0.02152535334785821,0.43049433471079,287.2809660018994,4023,7147,6893,0.20279598294445794,0.0008882899477257502,95.88553884749692,86.5525597919295,281714.1505342589,0.0073107314506789135,0.0054823776407020115,0.10964430998769914,73.68135629813564,4269,8489,71,0.0497238504465784,5.344679378524668e-05,90.46574448612346,71.95212798416323,16950.22908740501,0.0068105634299390205,0.005474317190476343,0.10948310575094203,62.0923443351237,3137,8313,96,0.07632505927998462,4.638377405137402e-05,82.02687551733796,49.95147731492638,14710.248088375438,0.004354881586945855,0.0033084348873756437,0.06616674080829714,57.65412782746587,5536,10098,24,0.028512705670853886,1.8964993583478544e-05,120.9438431495039,92.8027446411445,6014.598128613329,0.006867064687118869,0.004991158298865881,0.09982021370721422,85.65644528803607,5351,9453,319,0.05657397011920623,4.715657408528007e-05,124.81886728991817,103.65306553938177,14955.335523668477,0.19584287276381324,0.9984006581224368,0.4416515801401709,2.264228285298155,0.09096368311230493,0.07570967056966547,0.16670005301904042,0.36027547058372855,0.08837270553184284,0.08232663455912417,0.05264215635679944,0.0830096262674942
3,40,60,0.00732713765468495,0.005439549736090756,0.10878777722817935,85.12463465082847,4908,8948,174,0.05098975795628671,5.3686946057534843e-05,109.09200385050046,86.75256570710437,17026.39148636015,0.006984314277206607,0.0052380601701880365,0.10475810509120195,85.49344368386346,5145,8939,194,0.06339426038267838,4.878064552051048e-05,116.3872336557982,94.55279639892471,15470.396969488354,0.015162335448240437,0.011139692573128602,0.22278726233448287,172.88941019274372,4762,8644,2552,0.14039831279547413,0.00022989641615066232,110.52251402907504,89.70265295593386,72909.83507420016,0.02840876419428626,0.02026479935397063,0.40528400045071816,271.0180072340072,4111,7206,6269,0.2988874279508376,0.0008070578686489346,95.67908158472852,84.20249028862465,255952.0373730707,0.007062399727644819,0.0051956845066017405,0.1039106168846808,71.88511206212883,4347,8750,71,0.09756605878556782,4.9877489255564167e-05,94.68744631790251,73.80218269953086,15818.252308705667,0.006790256960442324,0.00540640228267098,0.10812484776650232,61.39856515539673,3142,8384,80,0.05035172133756624,4.6107589588804405e-05,81.36176742221014,49.95147731492638,14622.658364476434,0.00436480076884229,0.003219760764735737,0.064393310806242,55.471896913395994,5484,10062,32,0.051319566787557384,1.905148571648928e-05,116.37823511849619,87.70259380418506,6042.028426390988,0.007033418748505322,0.00485130417306236,0.09702321391485838,82.32930021774318,5344,9286,298,0.10003334031781617,4.9468978299054614e-05,116.9419569688192,93.95277865340006,15688.696280978837,0.1886696517364154,0.9979624660958519,0.43624331544835737,2.292298734645896,0.08813708095963592,0.08401330804862135,0.18238554397626988,0.34172492284951816,0.08495258665800326,0.08167902060316477,0.05250355826059272,0.08460397864419392
4,60,80,0.006314476953537445,0.0047757463440420995,0.09551210202690857,76.03925926207305,4981,8984,72,0.03998041933982893,3.987261851641804e-05,112.04517578486903,89.50264704075897,12645.286467203432,0.006909754475318679,0.005231339392735753,0.10462369351749613,86.40867950064029,5205,8912,180,0.04485593605623027,4.774470643119849e-05,117.2773030601457,95.45282301721167,15141.857058282623,0.01539167624084419,0.01150674583632597,0.2301281104864273,183.67336191631463,4878,8771,3008,0.11021616252796797,0.00023690369623729037,112.86927301248525,90.5526780954271,75132.13868375256,0.02574989864273768,0.017734569603418578,0.3546809020705591,236.33055720347653,4220,7298,5070,0.21680355517937,0.0006630572751558607,94.99131856054014,82.65244444601932,210283.3849514234,0.0054485840837495735,0.004228369755380997,0.08456489402693539,61.80460686057109,4658,9150,2,0.03955662266323202,2.9687068517607107e-05,98.02721883673374,72.9021560812439,9415.01962360616,0.00627645344141266,0.005028410323779763,0.10056523217091937,58.53613712765023,3268,8518,63,0.041571774990339705,3.9393864222984504e-05,82.87692659268527,49.95147731492638,12493.45331921548,0.00397742560340446,0.0030083464778673024,0.06016515012042271,52.52720833000685,5540,10342,32,0.03750927819726951,1.5819914426130233e-05,120.48259136689643,86.60256127072321,5017.161080672167,0.0056048178294500536,0.004145678116885003,0.08291111016911917,74.3657746630012,5508,9557,171,0.05234709015401203,3.1413981697252195e-05,132.8787457316078,110.55326961291514,9962.696517502896,0.19277207785012088,0.9974827648680913,0.39192430689916935,2.551513091677855,0.08344415671808891,0.09131059303320474,0.20339696444304586,0.34027815662796784,0.07200160955871136,0.08294168597853935,0.05256063611081687,0.07406619752962502
5,80,100,0.006432540039054,0.004802796782933238,0.0960530948043969,74.65904896334328,4830,9030,80,0.04182482848413835,4.13775712087151e-05,107.73060364782698,86.00254352519858,13122.570343251084,0.007587048529589597,0.005612980979926366,0.11225629952031187,91.78570598865606,5156,8885,303,0.07414684790316452,5.7563300248524933e-05,115.4370331224437,93.25275795028799,18255.746643288974,0.016503302976935443,0.012021593541203187,0.24042476005155733,193.70371733950378,4903,8770,3390,0.11830753253658698,0.0002723589923025241,113.41211245471604,90.5526780954271,86376.50617719373,0.024085155874029093,0.016007714071065198,0.3201448128585284,212.06276288524958,4154,7577,4179,0.18686189897711908,0.0005800946356409559,92.09980678323203,80.45237937909563,183972.43819709052,0.005646003024951672,0.0042259843588312845,0.08451718750690318,63.60504903983932,4782,9187,48,0.07114008419110676,3.1877350155681726e-05,103.89735690160016,76.3522581180106,10109.650169275104,0.006909044719034132,0.005362203012070693,0.10724088849836487,63.87447524257168,3341,8459,142,0.06273985341610391,4.773489599390169e-05,86.67340655245398,52.05153942426262,15138.74575547377,0.004233527160383083,0.003101071221561898,0.06201959014762929,53.028002600698414,5429,10185,52,0.040755662811057115,1.7922752085481937e-05,115.96792718734427,86.60256127072321,5684.059458203523,0.006368974871844354,0.004381574620710631,0.08762890071285116,72.3552885415296,5236,9478,187,0.07720463731228741,4.0563840917699126e-05,110.03941420998557,83.00245479757537,12864.502199753042,0.18015636281966801,0.9978005489336528,0.42406844541191285,2.3581099014067513,0.08271704032383671,0.09756304591199456,0.21221855900339212,0.3097147934629797,0.07260283761127025,0.08884448867069691,0.054439589137631736,0.08189964587819794
6,100,120,0.005428769634324894,0.004130261920307168,0.08260607519723358,65.28488667083457,4982,9248,21,0.03096207735693896,2.9471539692366077e-05,110.7483281278077,86.6991217378704,9347.408613605141,0.007028025111220768,0.005322399757779057,0.10644907347380449,85.97519132689713,5085,8861,180,0.04703454360480159,4.939313688210572e-05,114.75349140654359,92.04906754291775,15665.887767599446,0.01546516477629873,0.011574949153025373,0.23150132814527635,183.47338537928204,4863,8673,2996,0.12144707690096596,0.00023917131670732686,112.33615151364276,90.89907919230009,75857.32035386168,0.024132981785758303,0.016701222938166206,0.3340278424311931,225.33501516204754,4168,7459,4704,0.18656722224501446,0.000582400747024087,96.0337923069372,84.39914503663508,184718.47129653688,0.005243416136237649,0.0040993703617081744,0.08198823776662373,60.363948442346505,4725,9215,1,0.0245734124220133,2.7493411021644047e-05,99.05897071894327,72.99926051746873,8720.010895946261,0.006342200519191787,0.004998176543428522,0.09996454349916858,58.03357985398494,3287,8542,88,0.057228921972442184,4.022350679688304e-05,82.36240217596611,49.99949350511557,12757.58100491982,0.0036328619194400526,0.002778253497155703,0.055565632817289504,48.42516111142268,5506,10367,17,0.03657396328922195,1.319768568044833e-05,119.72996208956025,85.39913490673739,4185.874307283675,0.004589678470408566,0.0034063167519119584,0.06812702515803386,60.61519623434783,5422,9898,62,0.03525307494786352,2.1065148022814467e-05,131.65553891496975,106.74891863342174,6681.176080673372,0.19410483714483154,0.999507287588122,0.3805240491623616,2.627954796027415,0.07554321701615406,0.09779741302984103,0.21520314501829135,0.3358188324591058,0.07296395864383792,0.08825392537417014,0.05055253673590631,0.06386697172269334
7,120,140,0.0050070964944024625,0.003801443393994398,0.07602661932614356,60.788597989538964,5008,9208,30,0.03503673191551983,2.507101445236438e-05,113.3792429787252,90.35267218025221,7951.074485940869,0.006608554914993229,0.0049658849137992,0.09931476095508772,80.26593110873009,5117,8820,124,0.05474765014729098,4.367299542913688e-05,113.65434279422419,93.80277421701891,13850.546029599318,0.014573672658379144,0.010965356752880023,0.2193006490491479,172.13285513738091,4868,8718,2548,0.09891602145587886,0.00021239193377713144,110.45495746029145,88.70262338005945,67358.42655603957,0.023885056087468885,0.01640956260606404,0.3281815458650992,219.61962366849974,4102,7512,4444,0.168615055661323,0.000570495889689746,95.44729895799972,84.05248585224349,180928.271628773,0.004968189072039202,0.0038942256557219215,0.07788220967998678,57.281093420702916,4623,9205,2,0.02916801810756959,2.468290259125214e-05,99.19988346719633,72.60214720848158,7827.987870421427,0.00557049943327705,0.004503388912209434,0.09006511448967454,52.36391009996364,3281,8686,36,0.04366634272051696,3.1030461820005685e-05,81.6996306216814,49.95147731492638,9841.066213447195,0.0032848645017139427,0.0025431736450287103,0.050861968613378654,45.815782171238816,5783,10533,3,0.02410452235542203,1.0790334789773502e-05,124.04353096935428,93.5527668230503,3422.0695698110117,0.004369111658628978,0.0032063780255248047,0.06412566393791352,57.69285092721703,5598,9892,64,0.030725384159294097,1.908913602090822e-05,133.16261391742168,109.75324595221562,6053.968923470677,0.20110437311749332,0.9998974854459807,0.3633128280221769,2.7524489169398643,0.07334573376566206,0.09680446740195987,0.21348035053535502,0.3498768131846165,0.07277580397793895,0.08159866078707718,0.04811786580672582,0.0640003045406645
8,140,160,0.005470915908206664,0.0041231571225676346,0.0824607036039398,65.28489913134253,4937,9169,40,0.031338405270994886,2.9930918843605914e-05,110.4244179573543,86.0525450039923,9492.354831127237,0.007366609679838005,0.005531191284549579,0.11062055399138045,85.19584254144827,4826,8660,184,0.06558040976952569,5.4266938133914924e-05,107.78781524320142,87.05257457986669,17210.331398696584,0.01666945208658313,0.012393083413439551,0.24785433776002744,184.54686632896866,4641,8410,3024,0.14642266859830713,0.00027787061318225204,103.27149446915669,81.80241930652608,88124.47326628977,0.027361299591737488,0.018271838061725238,0.36542595344240253,244.33417239666403,4167,7405,5326,0.22048545772527603,0.0007486406806020553,95.29345067455854,83.80247845827489,237425.48694957353,0.005323622558807168,0.00413880723638759,0.08277369662329667,61.88700155932897,4733,9216,10,0.033507210801336826,2.834095665540948e-05,101.70867716325125,76.85227290594779,8988.110863967497,0.006182305480046625,0.004764607389935367,0.09528932953346521,57.16110344588265,3455,8630,102,0.06232800746393847,3.822090062702782e-05,86.44476779681489,51.45152167873798,12121.457166508175,0.0037091462796499603,0.0027277198813681672,0.054552784181070124,48.89438274180031,5746,10432,41,0.04022334975180421,1.3757766117391485e-05,123.72527114970201,93.15275499270054,4363.167009750459,0.004953490822323182,0.003522105075624032,0.07044001818734986,63.28916035052091,5529,9887,128,0.06638569841692021,2.4537071267661164e-05,130.39338255042617,104.55309215766873,7781.738616389114,0.2048243391380988,0.999614943903676,0.3546540551309372,2.819649135636707,0.0710168763056142,0.0956245018571822,0.21638285741871033,0.3551716131758668,0.0691048904973051,0.08025128350106728,0.04814769354180684,0.0643002837024473
9,160,180,0.004854386878379423,0.003700633443976922,0.07401047995487886,58.78562422003228,4927,9247,14,0.030454676969863943,2.3565071646110454e-05,111.29873664250523,86.95257162227925,7473.476603061321,0.007045288888995613,0.0053146117549115225,0.10628909150540979,83.36056265012785,4897,8709,162,0.06306247743759258,4.96360952704012e-05,110.64573330232024,89.80265591352129,15741.696110306293,0.015856288941906792,0.011788820471392115,0.23576943634060527,179.83695519051133,4646,8522,2880,0.10023806816124348,0.0002514218850720171,107.15240990476741,85.85253908881741,79736.46776047171,0.0265812104925464,0.017905982592288393,0.35810906045717356,240.62484758803674,4223,7480,5278,0.20561467685091578,0.0007065606940494887,95.02484424537747,83.70247550068744,224080.15112032107,0.00502579829072001,0.003924567301795522,0.07848902465437534,57.886550190790075,4689,9132,3,0.026777994351802562,2.5258648240678883e-05,99.64083073095122,72.30213833571926,8010.581061943309,0.005353401646476496,0.004296093161610027,0.08591932209312161,51.55126807753812,3433,8852,41,0.03834575475473453,2.8658908337284257e-05,84.28315974540469,50.001478793720096,9088.94673203019,0.003352680853524915,0.002556666558617282,0.05113181890409179,45.54376307827467,5730,10416,9,0.038499757031694594,1.1240468811609824e-05,122.78552480735745,93.35276090787542,3564.826024404304,0.0043090582030340845,0.0031297898677793393,0.06259394608489906,56.376443463213974,5486,10073,58,0.03679936939947247,1.8567981528673338e-05,133.69007874667935,110.7032740492963,5888.688886864441,0.2128262616196834,0.9997615643203438,0.3320183452073986,3.011881766278125,0.06706981706184907,0.09734004494725412,0.2190757402031661,0.36725480883236794,0.06943809391246432,0.07396437038978756,0.046321749202599204,0.05953537545051164
10,180,200,0.004855690110432167,0.0037004443143605742,0.07400669747442208,58.39310668004905,4955,9353,12,0.029710881644504968,2.3577725111118798e-05,109.4220233302626,82.80244888240048,7477.489549684512,0.006903877548632274,0.005193564049464047,0.10386820899617731,78.15834001662584,4693,8682,126,0.05382664063825698,4.766352482267499e-05,105.29022322360512,83.95248289465604,15116.110951459332,0.015530095977844258,0.011489025531941985,0.22977371488030754,166.81826829269176,4483,8341,2396,0.15000723622148576,0.00024118388107973113,101.12876086623538,79.55235276080867,76489.5655465747,0.027228760931015103,0.01843621615907368,0.3687134181597278,243.9104535013739,4107,7421,5350,0.1909684659902951,0.0007414054215018574,94.0624339636043,83.15245923395652,235130.88159405199,0.005256965573129033,0.004085188491742546,0.08170135344588293,58.80903428230696,4491,9028,4,0.035973411445251145,2.763568658742137e-05,96.92872406163737,70.9020969294951,8764.440024722726,0.00566630653509555,0.004507204308754328,0.09014142016376539,53.82257509133608,3368,8697,53,0.03810016151019817,3.210702636288888e-05,85.04352965269527,50.10148175130754,10182.490166819769,0.003243046203132575,0.002449184155013201,0.04898223440785125,44.48693140831534,5838,10476,16,0.03427284011424211,1.051734812779985e-05,124.056477783282,92.65274020476335,3335.494003148364,0.004416668521184769,0.0031511768955110302,0.0630216739891061,55.682306536566614,5469,9910,71,0.06077474187480745,1.950696055660634e-05,129.1082639056751,104.75309807284361,6186.4786793763105,0.21400390773768058,0.9994820236597922,0.3408570034775973,2.933781585232192,0.06642402680615318,0.09444246583436404,0.21244591151280176,0.372479277887672,0.07191332523431335,0.0775129566795129,0.04436366057785738,0.060418375467325536
