Window,TimeStart,TimeEnd,S1_Envelope,S2_Envelope,S3_Envelope,S4_Envelope,S5_Envelope,S6_Envelope,S7_Envelope,S8_Envelope
1,0.0,0.2485588,0.002900913032725715,0.0024423306563340955,0.004597891845505683,0.005959804406448172,0.003462398416431471,0.0017205451481968705,0.0029083534707263913,0.01063997337610486
2,0.2493529,0.4979118,0.003235084526224932,0.002785323844135487,0.008056060949518242,0.006084911599317104,0.004305091163697891,0.0022084606882078477,0.00325458067395939,0.010631355471148846
3,0.4987059,0.7472647,0.0027186468047765747,0.002761156731486753,0.006121183315243057,0.005745884791945141,0.0028447129747128518,0.0019296562420241118,0.003413598453057287,0.011245721523159178
4,0.7480588,0.9966176,0.0031599957754479026,0.00342109775068249,0.010420645531764647,0.005615894843695511,0.0041591283661559075,0.002184819991466979,0.0036006586243666453,0.011103247084203875
5,0.9974118,1.2459706,0.002826219820223191,0.0027843182561269443,0.008968890644807635,0.005488359374922467,0.0035555218871530596,0.0023637710981127273,0.0029475694794451994,0.009246794132953992
6,1.2467647,1.4953235,0.002693946807505023,0.0023479924325794745,0.0053170375771054105,0.005392576652149971,0.0028561256451494553,0.0020978303765564264,0.0028407600870376465,0.009056394817855922
7,1.4961176,1.7446765,0.003010019108540107,0.0030490948184543933,0.010382872649848936,0.005922495805006323,0.0030394727115076957,0.002351799413046249,0.0028281550648668087,0.00900678714814408
8,1.7454706,1.9940294,0.002810988720346822,0.0026037836825385753,0.008947722181002092,0.00575895562704022,0.0027843497107186066,0.0018078724705638408,0.0028182290804404124,0.007151843044100289
9,1.9948235,2.2433824,0.0027021007916044936,0.0024561698584092146,0.007906091087895835,0.005494601413460852,0.002639525495644204,0.001978507235165104,0.002481715641652293,0.007069641098634576
10,2.2441765,2.4927353,0.0026562266693918686,0.00249723584283314,0.00839309341765483,0.005508223198483775,0.0024247368334844453,0.0019417264512125573,0.0023996934508767275,0.006716889016005064
11,2.4935294,2.7420882,0.0028341730843093045,0.002970693630875262,0.006558115187930909,0.005220335900889074,0.0024156501836939603,0.0019031241151231924,0.0023682568400033694,0.006878038478391699
12,2.7428824,2.9914412,0.0027369450476700777,0.002797861320574549,0.006198633172151652,0.005182128791055614,0.0026405899853357427,0.0018111209590000459,0.002044528400391474,0.005597817357279035
13,2.9922353,3.2407941,0.0029106127361403287,0.0032720580616777723,0.008020574317252107,0.005673126193129943,0.002601852917884174,0.0018477956230262707,0.00243282650903907,0.004902794013703389
14,3.2415882,3.4901471,0.0025344565384372492,0.0027675521655418614,0.006951642145414275,0.005364750368849909,0.002659725208046161,0.0018637139753962305,0.0021257900260097987,0.004371346090619702
15,3.4909412,3.7395,0.002599024199200638,0.0030966637561672668,0.008291971534646437,0.005313715559377439,0.0025498140703875648,0.0017503588498332633,0.0020251365481587054,0.003501492040278758
16,3.7402941,3.9888529,0.0023399310624588722,0.002767684411478179,0.006077137701844011,0.0049678648729818975,0.0023416625004696835,0.0016780516565897308,0.0018956880170962137,0.003766725240418934
17,3.9896471,4.2382059,0.0025111909338068608,0.0028571178359481494,0.009680522769151186,0.005914600402077819,0.0025303495681765265,0.0016144968147263324,0.0019624855195493947,0.0038178023454074174
18,4.239,4.4875588,0.002298356112234965,0.0029688909770914543,0.006091696019551841,0.005329073522810135,0.002300768772714227,0.0019417707694675853,0.0020118483670149316,0.0038843996599738006
19,4.4883529,4.7369118,0.002630302329204317,0.0032234371589669425,0.007419510465166275,0.005611203606310648,0.002502087570044746,0.0019871741446863805,0.002655065752253903,0.0075127987590514755
20,4.7377059,4.9862647,0.0023452379249560133,0.0028651556019055747,0.007436753955916293,0.005892256659433755,0.002551424369290504,0.0017021242643032227,0.0021602624861902465,0.005999486417276933
21,4.9870588,5.2356176,0.002234184101287657,0.002729604672229029,0.006289752230466084,0.005072944250088677,0.0023520406026389254,0.0018771109674503034,0.0023061677691739303,0.0064341495384639515
22,5.2364118,5.4849706,0.002372891805106277,0.0030960281727587277,0.006845417439590925,0.0054844741805034234,0.0025363975468582034,0.0017381300923404567,0.0021359608108083125,0.005702433978888357
23,5.4857647,5.7343235,0.002451485821746096,0.0027884704247121243,0.006160870146733355,0.005203780085817721,0.0025449639314639423,0.0018949789989995728,0.0020620693287108716,0.005427900130882624
24,5.7351176,5.9836765,0.002640008518716524,0.002941537378606511,0.008663617102288683,0.006436385245572617,0.0031604054391897625,0.002049638447663361,0.0023994583335155417,0.007815853785197786
25,5.9844706,6.2330294,0.002636107758428262,0.002882335751112739,0.007010653433323088,0.005128463090311502,0.0033326438458037722,0.0021417428457355036,0.002374733071458686,0.0076045101661983035
26,6.2338235,6.4823824,0.002588999440260911,0.0031704440562784156,0.008025699924881982,0.0061135932652498165,0.003535871796101078,0.002086542700358076,0.002366561960381074,0.007438454668901551
27,6.4831765,6.7317353,0.0025735036054450604,0.0027966314007124523,0.007059039394984658,0.005145815212953193,0.003172703305288003,0.0019698698994435296,0.002316634100947613,0.006824908087603956
28,6.7325294,6.9810882,0.002419096983373391,0.002918814750304013,0.007740575220246175,0.005468317532380239,0.0030325431411005084,0.001872445428370277,0.0024793823173873044,0.00649805791724118
29,6.9818824,7.2304412,0.0024817267048634238,0.0025400709703150143,0.005335749113915519,0.0050933263367077455,0.003035308460974621,0.0019428959874285743,0.0023123334870865007,0.005655775038855651
30,7.2312353,7.4797941,0.002433231344299536,0.0027712572159487967,0.007186964878734917,0.007347868021507275,0.0029861672738024114,0.0019268679159398232,0.002218500156948432,0.007063381010350131
31,7.4805882,7.7291471,0.0025730178344643712,0.0027493677644817027,0.00553226501515896,0.006276430991282947,0.002637283514010718,0.0018609639673418583,0.0021613471443781814,0.005463807093356023
32,7.7299412,7.9785,0.002430096265466596,0.0027818770390971278,0.007727978202856785,0.006627653104638424,0.0027893885357526205,0.002021290878330793,0.0020505382601708464,0.006623940598673257
