Segment,TimeStart,TimeEnd,S1_RMS,S1_MeanFreq,S1_MAV,S1_Trend,S2_RMS,S2_MeanFreq,S2_MAV,S2_Trend,S3_RMS,S3_MeanFreq,S3_MAV,S3_Trend,S4_RMS,S4_MeanFreq,S4_MAV,S4_Trend,S5_RMS,S5_MeanFreq,S5_MAV,S5_Trend,S6_RMS,S6_MeanFreq,S6_MAV,S6_Trend,S7_RMS,S7_MeanFreq,S7_MAV,S7_Trend,S8_RMS,S8_MeanFreq,S8_MAV,S8_Trend
1,0,20,0.0033667384661210486,118.43836990855662,0.0026704091479393312,-6.470182972520607e-06,0.011470473127674373,122.87728691531834,0.010819516985626934,-3.5538150962018076e-06,0.01310999482872935,162.23145648588832,0.009129662411657271,8.543720575639859e-07,0.014291298527590741,98.91597699053585,0.012161935571349163,-3.441450202985682e-06,0.006931953275338447,131.8477211629236,0.005674853140633685,2.0962611306278845e-05,0.022468641576326047,122.05717666934193,0.02231342533550385,9.674265186126085e-08,0.012491281212430483,108.73515609457645,0.012109345850869533,-7.775048849196265e-06,0.021888447480570825,109.0581192114077,0.019959160267608987,2.145962009728039e-07
2,20,40,0.003225090491842879,117.62879891049718,0.0025659398094103635,7.793202583392723e-06,0.01150206610366004,121.20361463094795,0.01087379706571372,1.3208331194223295e-06,0.01320504919945758,156.6100742910694,0.009408141433392893,-2.685677316428155e-06,0.015563915459857604,103.2461759336268,0.01267429536628946,1.1902793807365906e-05,0.0065307917273294686,125.618280515659,0.005520225316656741,-7.48709279088352e-06,0.022453930260969816,122.82976460326326,0.022311685356362916,7.384919201443901e-07,0.012435677775396841,105.90769062443536,0.012122649692277148,3.5175453474527167e-07,0.020458801645304135,82.71111614053228,0.01971716752432003,-2.9499266184903695e-06
3,40,60,0.003204136438444895,117.67451027710614,0.0025567622672225533,2.835031775415611e-06,0.011519608369358607,121.46977046457587,0.010905107798292634,2.6999061049943213e-06,0.012947981935041339,152.88487283471684,0.00919926440341473,-6.942035569941379e-07,0.015535718481207534,98.84233874159516,0.012664531494937462,-5.026909371957164e-06,0.006468252411954408,116.42573486038299,0.005437150260075442,8.88222784328117e-06,0.022439974102136287,121.5276262832391,0.022279282096486004,-4.83646546849913e-06,0.01247469116750101,110.14309677124034,0.012136705527099464,-3.582802895854716e-06,0.020543705038815144,83.75839160073586,0.019727137736748064,1.3673160022913605e-06
4,60,80,0.0032855335749146144,115.56870657377326,0.002575476728211237,-5.923080778949818e-06,0.011770233788494103,115.12850706231387,0.01100544391105817,-4.111837642666511e-06,0.013782721376524395,153.7540957091082,0.009653607393289656,-9.219668208421577e-06,0.016394292971591173,101.12366030218644,0.013119173686718284,-3.880875368187696e-06,0.006806686168534933,116.80489334336444,0.005636030450665078,3.293501345881215e-07,0.02249936027075244,121.4646518122713,0.022295637601747072,-4.564919831953821e-07,0.012518824938910154,114.41283905131847,0.012183364645622394,-6.136567683575954e-07,0.020420512014501017,87.26074826198459,0.019685437923367084,1.692967817139534e-06
5,80,100,0.0031229719036113155,119.36132908206352,0.0024929214969227715,1.108752792805078e-06,0.011610432821228195,120.37591199768084,0.010930892940242206,6.594161569762545e-06,0.014143384264041695,152.3163625682194,0.01014886542783403,3.2757779068412563e-06,0.017278005085506788,102.26768845161199,0.013607619400436768,-5.277492372554942e-06,0.006399037889466407,114.62777843866536,0.005366957526305342,-1.9257030541614877e-05,0.022438339958903736,120.23279084600848,0.022288706221957513,9.311732111292236e-07,0.012459704811120595,110.71385625969215,0.012153633785983721,2.4387697607047465e-06,0.02041368333403118,85.54905283315811,0.019695454687313877,2.6456981440753657e-07
6,100,120,0.0033463517651606675,117.86215469887347,0.0026142547446994357,-4.323239782662824e-06,0.011965305597042484,109.69208456065363,0.01102446618756452,3.5709954319617676e-06,0.012410709251970187,147.3536510153201,0.009044052215516556,3.1162582218406434e-06,0.017613874935793732,101.18862410146073,0.01378174604542206,-6.006275806012934e-06,0.007679874572869789,141.71306789504803,0.005880763197808306,8.397768268547988e-06,0.022436659528365887,122.27413384307944,0.02228403549193997,5.02902340501951e-07,0.012457764859395652,104.32408608892204,0.012134910640832207,-1.2854570717903015e-06,0.02040401890899137,81.98785157570144,0.01967203276026364,4.3032024366850147e-07
7,120,140,0.0031998301278992223,115.72909890068482,0.0025469719912646414,1.4392430411997101e-06,0.011914545980632577,110.93100838310052,0.010985402370458607,8.09597442404605e-07,0.013016519745354756,147.69500960589866,0.009346054040103238,-6.794707333159145e-06,0.01799082148198678,101.79550505146337,0.013964224800476474,3.987771693656697e-06,0.0064424366555612175,116.2336786077974,0.005443068429620806,3.415911488437162e-06,0.022447709458055028,122.5065649141085,0.022300775707762555,1.6017425353621715e-07,0.01240526696174247,105.8039880535196,0.012060901552511414,1.0756480275343397e-05,0.02042608173619702,72.63656551224804,0.019700557438951757,2.179444311244688e-06
8,140,160,0.00329452474958118,112.55557661517278,0.0026195038514989083,-2.0124020909165004e-06,0.011897785266031455,107.98112693070112,0.010997372281119713,-1.2082987437620316e-05,0.01302508025787847,146.13918791726553,0.009411294484812387,8.379126843486088e-07,0.01859982834975229,103.78999693804562,0.014373674556283501,2.4945967927178715e-06,0.006517836499634144,123.88742628565672,0.005418988822711932,6.434188791498733e-06,0.02244504777496952,120.9603574072819,0.02230275486599166,7.37752621060614e-07,0.01247225254132967,96.31246862222461,0.012102435945999603,2.3007236495782863e-06,0.020450515107335684,67.98669587491526,0.019676517280127058,-4.147619473593165e-06
9,160,180,0.0034369400113815223,114.18793638749933,0.002708590629342863,1.0821194781371252e-06,0.011978375213401107,109.76262547968577,0.011075075711733174,2.08771497724566e-06,0.012676866661059582,145.68419181376413,0.009175072233472305,4.454780156657224e-07,0.018221491687182897,103.53087104835245,0.014053297887631527,2.2202278813518884e-07,0.007197469428736064,119.40614627519042,0.005775181683541791,-3.5879803959976383e-06,0.022550904602718712,115.048126946632,0.02230312191780822,6.504193702448585e-07,0.012502372051253706,97.9380161674027,0.012138571721262658,-1.6735168767498458e-06,0.02049284791261764,73.45572049024109,0.019676423744292237,-1.7859564669939275e-06
10,180,200,0.0035575556447968717,115.77398650038432,0.0027700387016081,4.552148196202511e-06,0.01196735418474606,109.1237241462241,0.011085719253523923,-6.894967905864434e-06,0.01197695766655154,145.65688617965893,0.008749467139170141,6.8548282187300624e-06,0.017937289926182078,100.50286609381386,0.01396158591621997,4.692639409103927e-06,0.006413234168982766,121.23940712474943,0.005411677605717688,-4.442757022491637e-06,0.022433541762836812,121.97588510478815,0.022286526440341473,-3.320821829582915e-06,0.012549453588782476,99.8345361244478,0.012192915433789954,2.5058315210102187e-06,0.02051535111293441,71.91820344542722,0.019723016767917413,-1.0248134293826313e-05
