Segment,TimeStart,TimeEnd,S1_RMS,S1_MAV,S1_IEMG,S1_WL,S1_ZC,S1_SSC,S1_WAMP,S1_PeakAmp,S1_Variance,S1_MNF,S1_MDF,S1_TotalPower,S2_RMS,S2_MAV,S2_IEMG,S2_WL,S2_ZC,S2_SSC,S2_WAMP,S2_PeakAmp,S2_Variance,S2_MNF,S2_MDF,S2_TotalPower,S3_RMS,S3_MAV,S3_IEMG,S3_WL,S3_ZC,S3_SSC,S3_WAMP,S3_PeakAmp,S3_Variance,S3_MNF,S3_MDF,S3_TotalPower,S4_RMS,S4_MAV,S4_IEMG,S4_WL,S4_ZC,S4_SSC,S4_WAMP,S4_PeakAmp,S4_Variance,S4_MNF,S4_MDF,S4_TotalPower,S5_RMS,S5_MAV,S5_IEMG,S5_WL,S5_ZC,S5_SSC,S5_WAMP,S5_PeakAmp,S5_Variance,S5_MNF,S5_MDF,S5_TotalPower,S6_RMS,S6_MAV,S6_IEMG,S6_WL,S6_ZC,S6_SSC,S6_WAMP,S6_PeakAmp,S6_Variance,S6_MNF,S6_MDF,S6_TotalPower,S7_RMS,S7_MAV,S7_IEMG,S7_WL,S7_ZC,S7_SSC,S7_WAMP,S7_PeakAmp,S7_Variance,S7_MNF,S7_MDF,S7_TotalPower,S8_RMS,S8_MAV,S8_IEMG,S8_WL,S8_ZC,S8_SSC,S8_WAMP,S8_PeakAmp,S8_Variance,S8_MNF,S8_MDF,S8_TotalPower,ConcentrationIndex,PatternStability,CoContractionRatio,FlexorExtensorBalance,S1_ActMap,S2_ActMap,S3_ActMap,S4_ActMap,S5_ActMap,S6_ActMap,S7_ActMap,S8_ActMap
1,0,20,0.0031882465434756773,0.0025272447102118985,0.05054540622403165,42.509009238711954,5391,10004,0,0.016241210544044076,1.0164911643046622e-05,114.32571494074428,82.5491637769458,3223.977566274561,0.003659221772721193,0.0028651855945118414,0.05730429237685573,49.70227032563193,5541,9792,0,0.02403377117912684,1.33899028743761e-05,120.51370764684388,94.84903917920423,4246.839318910445,0.011847761011712532,0.008134308451661696,0.16268781704417576,165.4170909430304,6007,9934,2898,0.0955700746063029,0.00014036943595217307,157.26877177061039,139.34858839875707,44520.594752490804,0.007987823223482321,0.00620535576737337,0.12410837255258367,82.16272062755655,3826,8328,233,0.09533017194130372,6.380531839402924e-05,96.99828548105044,64.09935067355815,20236.960434766475,0.00471148340833714,0.003051794926287923,0.061036516819429114,52.74203463639745,5370,9863,164,0.079841917229353,2.219807589339342e-05,129.31597413012932,108.14890445156497,7040.503752379651,0.0024949773745062158,0.0019521732193725858,0.039043859897757854,34.25980783036522,5687,10459,0,0.015534729019558546,6.224911365632671e-06,116.49980470705879,81.2991764393179,1974.338325217851,0.002966985401065683,0.002299073584979884,0.04598193749192,35.73786694171209,4726,10019,5,0.03949320032132443,8.803001258739642e-06,104.55060381054642,65.54933598520651,2792.0241235321846,0.009420799773770902,0.006155066036008555,0.1231025677365875,77.53929545575605,3102,8327,712,0.10137131640344488,8.8751463544668e-05,108.58228487973365,85.64913237426296,28149.061887521908,0.16516107700756455,0.9695454561529081,0.7343329973188525,1.3617800148585628,0.06889439630644582,0.07907163751150863,0.25601669486800394,0.1726078116231543,0.1018098195039098,0.0539136348682309,0.06411319365334323,0.20357281166540347
2,20,40,0.003044067617405878,0.002417607058509643,0.04835071115563248,40.48155155778287,5359,10000,0,0.020483001743035578,9.266347641807601e-06,113.3399972688698,81.40240747617632,2938.749066282256,0.0035904828242642167,0.0028270349979467573,0.05653902776775108,48.63124080748187,5469,9802,0,0.017371896916141393,1.2891566467098271e-05,118.96601977295055,93.25275795028799,4088.4586228097073,0.011947194637644426,0.008485697038973226,0.16970892148971764,167.9869522851072,5875,9641,2905,0.09631973278011269,0.00014273545729470287,152.28527803225577,133.75395577320126,45267.42445509561,0.010032349966709401,0.00757494018223333,0.15149432306759494,105.60605253459248,4090,8124,611,0.11065164165346147,0.0001006480456384559,101.8659223788308,80.70238677306423,31919.73381277631,0.004008961900625483,0.002824860720695175,0.05649554350880442,48.177866007419055,5382,9883,66,0.03418599881613784,1.6071775345012707e-05,122.57129934057032,99.15293244794695,5097.036784542747,0.002367140730885253,0.0018734749478609204,0.03746839079679816,32.95190545859804,5609,10484,0,0.016309244525188442,5.603355086858061e-06,117.69596832448863,80.55238233668308,1777.0598693337863,0.002622236205030216,0.0020989982940769654,0.04197872432406114,32.43559487097139,4828,10175,0,0.010943418222648998,6.876122428116121e-06,100.58235130693033,51.40152019994426,2180.7079926613756,0.0053659149550551715,0.004285627832708567,0.0857100217053344,47.973048697804025,3063,8626,0,0.030928928626607725,2.8793043150254312e-05,80.73461305324045,50.001478793720096,9131.486529975304,0.17480320093362903,0.9996159495712513,0.5019992338912747,1.9920349125803343,0.07082793312760606,0.08354166507954293,0.2779817038291323,0.23342799893531113,0.09327863933935816,0.05507751681733372,0.061012958290638325,0.12485158458107748
3,40,60,0.0030226664829641546,0.0024117886891634644,0.048234347210274336,40.54975563613074,5446,10146,0,0.01316390355680595,9.1365126672318e-06,113.21011021349248,80.45237937909563,2897.5729281689028,0.003561109532790569,0.002813391997435864,0.05626617582736793,48.13772761966429,5443,9698,0,0.023428743094187132,1.2681500493030513e-05,118.42183060056361,90.8026854893957,4021.8378560294877,0.011721846062520613,0.00824158702811594,0.16482686566364188,159.4384090229553,5630,9586,2688,0.10023831159967504,0.00013740167199701405,149.06811253776593,129.75383746970365,43575.856518165136,0.010017419808151354,0.007642082341140882,0.15283712653115938,102.44592191063252,3895,7927,535,0.06360077804429189,0.00010034869899115152,97.57113397181746,76.05224924524828,31824.798384680405,0.004019386122584128,0.0027853620561788164,0.05570559358193706,46.52763433923374,5376,10020,16,0.03416785259555922,1.6155464190375652e-05,113.01810104755911,88.5526189436783,5123.578041753838,0.002536833239126491,0.00194940099310062,0.03898686679133685,34.33424996773033,5663,10402,2,0.031087266714847295,6.435522250376023e-06,116.64171044718621,81.3524059973826,2040.975121525006,0.0028009132381349097,0.0021753477419358663,0.04350566812054121,33.2149703918875,4776,10205,15,0.04107141906076492,7.845114820149125e-06,104.58817290367595,52.95156604254959,2488.016286867151,0.005733132552653116,0.004431065743417192,0.08861869389298359,48.68979757294644,2914,8681,39,0.08751920699621965,3.286880814746118e-05,82.07193120229256,50.001478793720096,10424.083251243052,0.17131145077571094,0.9984999901152835,0.532791118023604,1.8769081656419382,0.06962534506422109,0.08202806410480545,0.2700058314380553,0.23074537489552485,0.09258419587755104,0.05843446196927384,0.06451738946363954,0.13205933718692894
4,60,80,0.003104934520506939,0.002429119288918359,0.04858094895432257,40.611626405204774,5300,10109,2,0.027852857976617178,9.640618102973112e-06,111.22568869085043,76.45226107559803,3057.445990982635,0.00413731415564946,0.003061509937226425,0.06122838786141927,50.76045826050304,5320,9684,14,0.0830649501783979,1.711736826948316e-05,113.021994541633,88.75262485885318,5428.638333424357,0.012572684771008754,0.008720259578904375,0.17440003354459968,169.43663977683738,5658,9439,2896,0.13466359853432952,0.00015807239575354055,149.74191147474272,130.95387296075293,50131.41351721387,0.011352431956009454,0.008507676778646637,0.17014850328216996,116.83950611822426,4050,7900,907,0.07245298360248244,0.00012887771057447782,99.89890485490682,80.15237050633331,40872.54938575349,0.004400571875706094,0.002983132838218503,0.05966089224131443,49.07759582767703,5273,9871,63,0.053552816953463214,1.936503176287649e-05,113.7490032130004,88.70262338005945,6141.467081908249,0.0029895412304631113,0.0020549363382488467,0.04109751127014537,35.50216632165994,5622,10353,19,0.09692956785809868,8.937356460011027e-06,118.28590673918009,97.70288956292907,2834.412107893419,0.002816643652429533,0.0021699452415930866,0.04339762130926454,34.048285793233916,4918,10304,17,0.04191268371383966,7.933480426737359e-06,109.11233739989726,62.15183814059408,2516.0407420128877,0.005400721314580939,0.004188643529083332,0.08377039299904471,48.51929649242384,3084,8787,29,0.06499826462689984,2.916778931487477e-05,85.45553158679311,50.05148027251382,9250.334320274313,0.17327765949800047,0.9976325484476899,0.5007634707420586,1.9969507730229312,0.06638043635734563,0.08845169429034996,0.26879159472472686,0.2427037935840097,0.09407988458434244,0.06391344167670791,0.060217062059297076,0.1154620927232204
5,80,100,0.0029377754793771305,0.002339162630385078,0.046781868993019934,39.891975936438975,5414,10216,0,0.013516649819582942,8.630524268375607e-06,115.08705331952248,82.6024429672256,2737.1026984551568,0.003772313230037216,0.002955999930716964,0.05911825014039826,50.525471729618666,5457,9694,0,0.021557332074041716,1.4230346774289908e-05,118.61989229568387,94.55279639892471,4513.042237605862,0.012950200770311027,0.009305379388786969,0.18610208364388758,179.20283190740577,5670,9390,3193,0.1092737230778437,0.00016770769988714643,148.52983404581997,130.90387148195921,53187.174224725626,0.01254449005065716,0.009271203840255843,0.1854185928881018,128.7899154245096,4091,7824,1291,0.09668105432853785,0.00015736422877079935,101.2726909430722,82.65244444601932,49906.823944304575,0.003946744849559881,0.0028390254501232757,0.05677882971892906,46.622967226035215,5299,9769,15,0.040913736107045025,1.5576794516958797e-05,111.53525896753011,85.65253317364252,4940.05751908673,0.0024346477191280473,0.0018993102365048608,0.03798508128810389,33.26723436845328,5589,10490,0,0.027344526822047195,5.9275093577239e-06,115.6182895339416,79.90236311236471,1879.8628395720752,0.0026169702278999334,0.002075922253491379,0.04151721716182728,32.81851668934641,4992,10196,3,0.03615480610576244,6.848531905281118e-06,105.91243848672542,58.90174201900228,2171.9578759645037,0.005352920777296499,0.004182819100149787,0.08365390786552347,47.60797578358633,3045,8841,22,0.0725170888087455,2.8653757956906713e-05,83.46810529480142,50.001478793720096,9087.31332951708,0.18682609642591777,0.9908198141906243,0.44562589103723305,2.244034783689101,0.06310188799249826,0.08102732444512648,0.2781635711187128,0.269449116059546,0.08477402482939239,0.052294965613295386,0.056211158190909966,0.1149779517505186
6,100,120,0.003159238465747095,0.002468133526487696,0.04936317057362141,41.64849646749767,5382,10119,5,0.049307776549347856,9.980787582631486e-06,114.15766596615953,83.39915516653276,3165.5794298190526,0.004703372966948893,0.003526872599105392,0.0705381665265179,55.67589264733578,5192,9321,0,0.022908408297532924,2.212171707515217e-05,107.63245553078036,89.24909590663128,7016.285233118561,0.011100329772116987,0.008045702201070074,0.16091567408071641,151.77511323520804,5586,9363,2264,0.07521186556834665,0.00012321732103405777,143.93049661580042,124.04874338619172,39080.50478449852,0.013004343007129054,0.009519985114040445,0.190401631029851,131.0311930466335,4032,7723,1411,0.12071523285365533,0.00016911292099272055,100.50967718381655,82.64916276395603,53637.08820918954,0.005634024505374768,0.0032441550237031005,0.06488375773988958,55.780589602778676,5264,9785,239,0.13211417607482495,3.174223194182435e-05,139.3348724852397,118.54879910062901,10067.59793877996,0.0024666843660565035,0.001948723789652081,0.03897487060449327,33.901798392378254,5566,10266,0,0.017012560526468642,6.0845317404259274e-06,117.17309400411378,83.1991571925123,1929.814491712867,0.002674851335283753,0.0021374304406300225,0.04274904185602074,32.553877740168275,4783,10323,0,0.015098074824937104,7.154828310968426e-06,98.51713611662335,50.04949299862068,2269.2775649804676,0.00534184389705133,0.0042804782126260425,0.08561043147743279,46.313489308854926,2853,8758,19,0.05880390719922271,2.85352960010395e-05,79.82066047834613,49.99949350511557,9050.462775833015,0.17211333485918914,0.9954032613490189,0.5041843403683747,1.983401545691334,0.06570154817276895,0.09781435903396275,0.2308495731372083,0.27044665282525654,0.11716878496505166,0.05129874919560793,0.0556279229205262,0.11109240974961769
7,120,140,0.003012193463386161,0.0023920969401803167,0.047840523878280784,39.90111362349232,5349,10153,0,0.014196568363241848,9.073309421562317e-06,111.33541503644308,76.75226994836035,2877.528517320427,0.004647905954343346,0.003489879549842536,0.06979552673311824,55.2322437789024,5088,9341,3,0.0250309950074292,2.1603029692605406e-05,109.22149997859978,91.65271062888894,6851.2304731131035,0.011753993688574748,0.008307201357941852,0.16613911344928442,155.64158200657735,5533,9317,2406,0.11173973060276735,0.00013815636556759452,144.0624550587161,124.10367036601329,43815.20163142918,0.013554100261334029,0.00988665492108848,0.19772725046544398,136.52908646318932,3986,7638,1581,0.1194999862272415,0.0001837136256976312,100.88359654135313,83.65247402189372,58263.32734878103,0.0038952696506007935,0.002855068942614553,0.05709969007902889,46.74816990233058,5221,9763,14,0.041259516521005846,1.5173125640544447e-05,113.40829629322602,89.50264704075897,4812.037118870181,0.0024167394151205137,0.0019131593575694747,0.03826205551764114,33.476539131503365,5486,10533,0,0.011328758128608655,5.840629317193543e-06,116.96583453515193,80.1023690275396,1852.3095199841923,0.002799931120485703,0.0022194894399106746,0.0443884759702233,33.2077426271405,4616,10222,6,0.03714720894966935,7.839613469942276e-06,100.06795587722104,50.05148027251382,2486.271577040948,0.005313677330666246,0.004421763224971085,0.08843264902650105,44.0847475991916,2689,8310,0,0.027517739280167538,2.823516674925392e-05,70.14784189932831,50.001478793720096,8954.560429648145,0.1823701114244931,0.9996303899822552,0.43756166302499017,2.285392173269274,0.06355668403045758,0.09806989283198363,0.24800693316721645,0.2859888244556328,0.08218941625295174,0.05099272183470506,0.059077990738253344,0.11211753668879948
8,140,160,0.0031057570949067975,0.002469393233010413,0.049386404014125966,40.207737109830774,5227,10203,0,0.01467674500670563,9.645727117550838e-06,107.98803282328028,71.25210728105114,3059.0662746586086,0.004579362892682891,0.003437721074930739,0.06875238808661989,53.783632610169235,5066,9406,2,0.028329788527229595,2.097056376367021e-05,106.62226876398209,87.40258493142274,6650.648892326321,0.011749005866265089,0.008389801859172336,0.16779107461569812,156.58432107206917,5476,9269,2454,0.07946530762205632,0.0001380391383167362,142.78596702752492,124.75368959033165,43778.023933449396,0.0143268437681433,0.010362195189958217,0.2072377745607726,145.35456985944526,4055,7705,1942,0.10771536678496152,0.00020525844527065378,102.95579916599263,85.95254204640484,65096.096941600765,0.00398657255897152,0.0027269033781863183,0.05453645460039478,45.70410185234738,5333,9976,55,0.10750683913824818,1.5892760689884702e-05,121.89292354871002,98.15290287207256,5040.263698646992,0.002366278798405187,0.0018760715098060056,0.03752032049983348,32.715966534235235,5626,10485,0,0.012910346064819502,5.599275349808662e-06,116.01202632389885,77.65229656664731,1775.766012907495,0.002885145901279725,0.002332691819870394,0.04665245661021063,32.69248206009981,4303,10066,0,0.01137813452407886,8.324066453261805e-06,90.68973820732636,50.001478793720096,2639.912019577831,0.00549065980482435,0.004657813937956348,0.09315352366221102,43.81351591314707,2495,8200,0,0.0242375412907913,3.0147344956039974e-05,65.57672029686923,49.95147731492638,9560.992665624737,0.1845309759832571,0.9971510609669716,0.43626285703251355,2.2921960553828966,0.06404992793720302,0.09444005255776218,0.24229936729505802,0.29546203481978434,0.08221495671290402,0.048799690988625695,0.05950027043915635,0.11323369924950633
9,160,180,0.003260298822007922,0.0025653341340672125,0.051305165286219576,41.97930594042423,5264,9952,2,0.03495542456425425,1.0629548336944624e-05,110.53820123615098,79.45234980322124,3371.0774144994803,0.004589795833712066,0.003462896624980127,0.06925588419626996,54.77310339844433,5117,9433,1,0.025097490141958487,2.1066225649609012e-05,108.29315175787228,89.45264556196526,6680.987304918686,0.0113499324932662,0.008024969174956497,0.16049463672991182,149.54083822548182,5531,9562,2232,0.07824955347286604,0.00012882096759913122,142.05659924865367,120.9035757232152,40854.55379868252,0.013830391904471882,0.009946706559297663,0.198928247709084,139.23528235627103,4053,7846,1781,0.098074156853761,0.00019127973380361066,102.69421008682622,85.1025169069116,60662.85885691475,0.004988733960349917,0.0032566168228349433,0.065130410167868,53.284831459566604,5158,9572,99,0.08301316332540933,2.4887466413191947e-05,116.96542433250305,93.90277717460634,7892.863673052491,0.003348375864446501,0.0022288027926931965,0.04457473751702562,37.3370940637358,5333,10275,38,0.06702858294768957,1.1211620929000486e-05,112.22299921719059,84.50249916138696,3555.677145972427,0.0028647309546793107,0.002312981001981882,0.04625825191138905,32.92264392480551,4349,10089,0,0.01411684029860482,8.206680516972374e-06,92.35256409276394,49.95147731492638,2602.6839957652105,0.005759598215736436,0.0047414918548292105,0.09482703250418095,45.90031498872625,2576,8083,41,0.04887910216413067,3.317296846095524e-05,71.36924147632061,49.95147731492638,10520.545295603219,0.1717660256874467,0.998044649545268,0.5135096520501581,1.9473830647730903,0.06521659624720919,0.0918108670664653,0.22703562012470757,0.2766528879764205,0.09979092906475029,0.0669784239902955,0.057303950413091546,0.11521072511706013
10,180,200,0.003387007725910509,0.0026375770522411076,0.05274998091801181,43.24540746831939,5167,9907,12,0.029448857196617318,1.1471820547486954e-05,112.093826926276,81.20240156100144,3638.197402650919,0.0045693659657064225,0.00340627221282923,0.06812342944659146,53.67353223465977,5144,9331,2,0.024026232227291392,2.087910090944801e-05,107.40607494593387,89.00263225282177,6621.642169523014,0.010613227436177458,0.007555494872221784,0.15110542836926477,140.85721874519393,5496,9365,1973,0.07526801405225025,0.00011264059629486226,142.3617344594264,122.00360825667704,35723.07666221229,0.013434791227741872,0.00973021381746124,0.19459852092781105,131.85329458927228,3922,7686,1496,0.1019286676096936,0.00018049360648871642,99.76491925358789,83.3524651491314,57242.123654575225,0.003933905974591353,0.0028078181340188534,0.056154701855967895,46.47994233718616,5233,9841,55,0.04178627221536553,1.5475615655136724e-05,118.20074772717899,92.50273576838218,4907.969441108131,0.0024199279276563798,0.0019086778840395617,0.038172428697834444,33.42121535293397,5634,10550,0,0.013000814419882708,5.856051046735637e-06,116.46760238183285,80.3523764215082,1857.2003998695766,0.0028275330279665836,0.0022554887471635155,0.0451084408216901,32.918005216448464,4506,10206,4,0.036132401686107596,7.994942847124166e-06,95.2675801008279,50.001478793720096,2535.533063853722,0.005648011855160483,0.004683011269781845,0.09365745539449935,45.18658403530259,2603,8136,22,0.05829552552997639,3.1900036796699825e-05,69.69649178490481,49.95147731492638,10116.845058533112,0.17630683564229516,0.9997239107389368,0.4633544864915878,2.1581748513363213,0.07231977360353607,0.09756562101220395,0.2266148374907697,0.2868611879944487,0.08399720711695877,0.051670575926406274,0.060373806317224527,0.12059699053845213
