participant,mae,correlation
P1,2.466666666666667,0.9161728971362452
P2,1.9166666666666667,0.8508905414976059
P3,4.016666666666667,0.9239721827739235
P4,2.8,0.977164543586775
P5,5.633333333333334,0.5594526890464954
