Window,TimeStart,TimeEnd,S1_Envelope,S2_Envelope,S3_Envelope,S4_Envelope,S5_Envelope,S6_Envelope,S7_Envelope,S8_Envelope
1,0.0,0.2485588,0.0013680517992896637,0.0018881401236984948,0.008954817202060757,0.00661976680524299,0.003555630965361838,0.004480721805541457,0.0014922528360615612,0.0015293816444672656
2,0.2493529,0.4979118,0.0016091296240848812,0.0018733481810947487,0.011248719336171572,0.0077623533952889175,0.004524620012384595,0.004909167555233702,0.0017608328096927306,0.0014490536575182855
3,0.4987059,0.7472647,0.0016724258245401505,0.001956219661717846,0.010328198250267462,0.008021496805974328,0.0048234750572107,0.004986439758198627,0.001665500705528175,0.0014950987654754858
4,0.7480588,0.9966176,0.001757338810331513,0.0022346822592386292,0.011078445043385687,0.008062773850016965,0.004332788709752666,0.0047990527223125065,0.0017656654311340766,0.0015862977393064708
5,0.9974118,1.2459706,0.001655956994863688,0.002245490134010793,0.010836662107325935,0.007725165984120581,0.0044328015609597345,0.005124217853854994,0.001911760648960027,0.0015678685637640025
6,1.2467647,1.4953235,0.0018651507050761473,0.003096070804855461,0.011325761216151916,0.007341025504721809,0.004443836171246663,0.00514573166737639,0.0019044074540679995,0.001611001696711989
7,1.4961176,1.7446765,0.007367788780950965,0.014344322493529888,0.014442828449032632,0.008601475868117594,0.005941168611021074,0.005020579263011691,0.0022637634368193045,0.004156200638121932
8,1.7454706,1.9940294,0.01037314670760085,0.016364561802727273,0.022489155443701503,0.013880976573617672,0.012034252953090036,0.00770888590569192,0.004225413864512252,0.011661004123709037
9,1.9948235,2.2433824,0.004278410578635063,0.011722429396654653,0.030222942696407053,0.021033224245481704,0.03163856723359404,0.008028628051866939,0.003490999253025864,0.00594468576213197
10,2.2441765,2.4927353,0.003354391288784473,0.0063043414586717375,0.02752264942808977,0.016615082714179785,0.03261944095099567,0.005621042106091702,0.0028778439230870557,0.00441490636874884
11,2.4935294,2.7420882,0.003953973102853925,0.006362365564913888,0.025197916255627218,0.012473991349277376,0.019669264404675982,0.004152738184264896,0.003474856120755578,0.0053074910395819455
12,2.7428824,2.9914412,0.004482534622525467,0.008458812744457601,0.023240789690637226,0.012407356813398912,0.01985675370674494,0.0042743919303289395,0.00441362880310782,0.0070322034519357535
13,2.9922353,3.2407941,0.003948920099390338,0.006045686870801846,0.024541638703854122,0.01296423984560307,0.015655547418521137,0.003890333231472052,0.003942438840384052,0.005729211999922341
