Window,TimeStart,TimeEnd,S1_Envelope,S2_Envelope,S3_Envelope,S4_Envelope,S5_Envelope,S6_Envelope,S7_Envelope,S8_Envelope
1,0.0,0.2485588,0.0038445116520718194,0.0016056256289264355,0.0016398160415728785,0.005527068628696375,0.002694597852746001,0.0024209416699957163,0.018068116817161622,0.001842013910165914
2,0.2493529,0.4979118,0.004164799455779192,0.001676981910491631,0.001975931342254881,0.006884446485898763,0.003497667361460574,0.002683699939910981,0.021121837373501,0.002343805320008019
3,0.4987059,0.7472647,0.004386992673128383,0.00175535895753501,0.0019683091620401696,0.006550540843011956,0.0034333796423640117,0.0027232181658727586,0.0206926439107229,0.001950508675217179
4,0.7480588,0.9966176,0.004308089111265534,0.0017211099302148667,0.0018574257146326092,0.006623196912640497,0.0032620586041600067,0.0025085888609630335,0.02071732494965655,0.0019227874273804238
5,0.9974118,1.2459706,0.0039332572805532455,0.0017609397166910797,0.001993490890497626,0.006328728516975528,0.003005639462190438,0.0025621821077411286,0.021122873687576094,0.0021839547701055606
6,1.2467647,1.4953235,0.0039313404369558476,0.004124453672696965,0.002161835807794731,0.005533531612696942,0.0029279852476270306,0.0024203277424012224,0.020933947648884628,0.0028368225409882374
7,1.4961176,1.7446765,0.004750622624914455,0.004368233342197258,0.002268258752787089,0.004771942281032334,0.004864983536574413,0.00323337167326635,0.019289596451912718,0.012773561552754676
8,1.7454706,1.9940294,0.0056869059792447685,0.005461259143287396,0.0030265606739796813,0.0037931642517139786,0.004637077899424101,0.0032218557456951485,0.009745900458381748,0.009869146301991646
9,1.9948235,2.2433824,0.005835591100579949,0.010086192064563619,0.0054192858908865115,0.007646888281293054,0.004541586024191228,0.003299259273101037,0.004326937501753354,0.0032463558949451074
10,2.2441765,2.4927353,0.005489040047380781,0.009609275278024665,0.006132119905129829,0.008080246604206703,0.004925020774409527,0.0038678077648439026,0.004200613876828739,0.004287147876597589
11,2.4935294,2.7420882,0.005163397974113757,0.006219533567115886,0.005192823167629877,0.007585611379935694,0.00499343465613305,0.004372333608261449,0.004583354292563174,0.005033913535601754
12,2.7428824,2.9914412,0.0051150831015259485,0.007362714030251952,0.005763691769974697,0.007388111165090616,0.004377348649280076,0.004089534002863578,0.003918631509735787,0.0038537764344556526
13,2.9922353,3.2407941,0.005399009716314362,0.009982239433000481,0.005530764140405192,0.007248750848414904,0.0038934006963831157,0.004129984315113331,0.0032617554212370655,0.003063324811890273
14,3.2415882,3.4901471,0.00587618684242701,0.008469124668099688,0.00560667432668345,0.008172702804065382,0.005555577870379616,0.005198765400722196,0.004221082961900864,0.0036960548125963113
15,3.4909412,3.7395,0.006263078821352796,0.011077210735717321,0.006219907398948542,0.009031060500366865,0.005956652637141599,0.0051561380956733835,0.0045186854734196435,0.0051513612227485515
16,3.7402941,3.9888529,0.006259622538161133,0.010586138319212946,0.006314971727624609,0.008848015721259081,0.004704492784884612,0.004427919785567031,0.004127782637442382,0.0033170447403696804
17,3.9896471,4.2382059,0.006559825326946389,0.008174121176092898,0.005902499939654952,0.008503275720479252,0.007243355801763711,0.0052668906188614835,0.005751096643216214,0.00546027054921895
18,4.239,4.4875588,0.006889277914369138,0.009211390882242125,0.006073147555916237,0.008467859916811156,0.006233311999378815,0.0052095371891526495,0.005022776549903074,0.005208482144067615
19,4.4883529,4.7369118,0.006044978216399843,0.008467290766673597,0.0060967490257054025,0.008607278966157513,0.0045084932455114295,0.00430385174575686,0.004234135994059469,0.003085865512901182
20,4.7377059,4.9862647,0.006388946699602276,0.00620619950837797,0.006270502633396723,0.0088926229647985,0.006202771704792573,0.0046739783690795695,0.005727143014201249,0.007021019767563626
21,4.9870588,5.2356176,0.006342631499391927,0.006063214497800948,0.005600895706041382,0.009023106266044318,0.005424156052076143,0.004544060617204735,0.004664414484094846,0.004351914454585339
22,5.2364118,5.4849706,0.006621927398901527,0.008173129017446861,0.00601273819484612,0.00847191840593719,0.0044275384529181205,0.004083899852787856,0.004226518505012038,0.003768194806933173
23,5.4857647,5.7343235,0.006592299375380188,0.012602350543406962,0.006899713287368195,0.008375949505895146,0.006534097854647892,0.0056230928802917645,0.005880431670136633,0.0070326969268675165
24,5.7351176,5.9836765,0.006657837296314843,0.009389954669162884,0.006035159760350812,0.008759099919731414,0.00614070615635735,0.0051836112716601,0.005311608564535109,0.006706818768493778
25,5.9844706,6.2330294,0.00691105696783073,0.02915559689745327,0.009400588590223198,0.011874790166707042,0.01052054853043164,0.006268726734623951,0.004927693155734442,0.0046340668528117536
26,6.2338235,6.4823824,0.007717798019001611,0.036659626890326584,0.013648908504213506,0.026799194295239224,0.016083111577844426,0.027374257065547174,0.006586555609653003,0.009814445339830983
27,6.4831765,6.7317353,0.008187455084243218,0.06591768190143296,0.021102710386291926,0.030752651517987558,0.018225811071537836,0.030147828176835565,0.008633671465402516,0.013878001968201546
28,6.7325294,6.9810882,0.00833116935934203,0.06058938859709665,0.016737398638780106,0.025857680265742148,0.01877333336734284,0.014908189871300041,0.0077753938418366475,0.010116291339547624
29,6.9818824,7.2304412,0.007752466809144535,0.03611622683982248,0.010289227699997705,0.017190273769267565,0.01714214043580222,0.007597639696391436,0.0073429059108331505,0.0087099558182402
30,7.2312353,7.4797941,0.007237450937078491,0.03406918590832797,0.008650654960341345,0.011823105732197454,0.014718543803377393,0.00494413196713349,0.0060978471466036095,0.006033387184055087
31,7.4805882,7.7291471,0.008327765495179783,0.028246451136777616,0.008269448242600196,0.012672809348077942,0.015080463274236807,0.006418392196454262,0.006532457680088548,0.006573763541783752
32,7.7299412,7.9785,0.007789465612594245,0.028336668432816195,0.008024254688720981,0.011345742372252901,0.015141960697956246,0.005714414120992164,0.005991493519700264,0.007833324951322914
33,7.9792941,8.2278529,0.007394474415563955,0.022836487414448405,0.00851391950435893,0.012062480660624257,0.01429032117653899,0.005951142158273556,0.0060892695032217945,0.007932459791442
34,8.2286471,8.4772059,0.007593810775009138,0.016336997522083473,0.007274113761388308,0.011348142958925831,0.016293751805194587,0.006974943196339807,0.007065555483410071,0.010115048521298221
35,8.478,8.7265588,0.007446956646167621,0.01627972434168513,0.007894253554403414,0.011971786282757111,0.011800755882865334,0.0056206639408722244,0.005684685991809435,0.00581930923249094
36,8.7273529,8.9759118,0.006983743862207238,0.015138616047362304,0.00773950876387125,0.011286034500164832,0.012881129540116873,0.006162748812557756,0.006487166504587027,0.006545912210674795
37,8.9767059,9.2252647,0.006619021837656091,0.016893679059420217,0.00812247915884079,0.011330239810648509,0.01221907555412174,0.005691522886853843,0.005807129621000495,0.007419318930992762
38,9.2260588,9.4746176,0.00732729316246924,0.017750181646527963,0.008130392084927288,0.010674971453250016,0.01239593401129603,0.005249623992395602,0.006150701737691211,0.006161462758170564
39,9.4754118,9.7239706,0.007169575478786622,0.014355281320701392,0.007927689262836943,0.010109748787434302,0.011370503613166714,0.006642050988321824,0.006132532619954381,0.00882424277084994
40,9.7247647,9.9733235,0.006970485799672574,0.016254292076090145,0.008199701680423492,0.010407155166598762,0.01181759068924957,0.005233554766634994,0.005172069803767418,0.0061716602979910405
41,9.9741176,10.2226765,0.006571836336418483,0.014314790912914797,0.0068307418635010445,0.010807687277949148,0.01117718482771944,0.005774639893903854,0.005597120515906235,0.006393318743252966
42,10.2234706,10.4720294,0.007193121612981652,0.016774246263352298,0.008362765115750575,0.011877793021749053,0.012067806598944648,0.006067415863162108,0.005545622497529447,0.006711897813208673
43,10.4728235,10.7213824,0.007300770645808534,0.016358683747722695,0.007884637401286716,0.012026930565135012,0.011251247470282022,0.00529539414647541,0.005376357905076949,0.005637828518729222
44,10.7221765,10.9707353,0.007253480104461024,0.014509530649968367,0.0072757576633228575,0.010661373552162467,0.0114421715306851,0.005710247222114523,0.006116475380639757,0.008639879435302457
