Window,TimeStart,TimeEnd,S1_Envelope,S2_Envelope,S3_Envelope,S4_Envelope,S5_Envelope,S6_Envelope,S7_Envelope,S8_Envelope
1,0.0,0.2485588,0.0069579321838337095,0.004964314026285992,0.009087092281319235,0.011723509810232938,0.02593722595831107,0.0062403361929965736,0.011908136753980817,0.03298130368897492
2,0.2493529,0.4979118,0.007726333936989747,0.0045747490277985026,0.009187190850919033,0.019742367631135706,0.019351536954536546,0.005450231548125603,0.01382453798190093,0.03715425979013967
3,0.4987059,0.7472647,0.008619926909547446,0.005103205774523177,0.00960266695554776,0.01580631476316102,0.02525529569894141,0.006412098779595862,0.013273987343336641,0.03615972546335376
4,0.7480588,0.9966176,0.007326778962157206,0.005897293709886719,0.011883473805887196,0.0199782769361811,0.027907460716136437,0.005816658973558244,0.013321312672452087,0.03570651037260438
5,0.9974118,1.2459706,0.008707136601240346,0.004867568095579668,0.010132295678938004,0.017594925013487937,0.01653394851601235,0.00534232788873941,0.013448097757203742,0.03540127532806408
6,1.2467647,1.4953235,0.009407906829541556,0.0059266760779097824,0.008487975562141915,0.00945482154198645,0.024390089954800638,0.005765933069951011,0.01339718750461529,0.03593095237662143
7,1.4961176,1.7446765,0.0074648145874979,0.005612004608656202,0.01159011792194564,0.01461150261396312,0.02016084891925019,0.005517974545211636,0.01389946499441177,0.037016854239454985
8,1.7454706,1.9940294,0.007317398708191624,0.004501407781302118,0.00814427952474393,0.013624883911531339,0.013207766060652461,0.005444224981199397,0.012646619713860567,0.03573182202543367
9,1.9948235,2.2433824,0.007724540951689053,0.005139282911562969,0.011403774079303385,0.015012423140750622,0.024599646394573432,0.005748189616799566,0.012610842787011951,0.03415905037771879
10,2.2441765,2.4927353,0.008142213086971821,0.004969837812549465,0.010526424366497412,0.015920275650798964,0.020384963548168038,0.00549029562569414,0.013358962676362727,0.036300709304462775
11,2.4935294,2.7420882,0.008610996203904493,0.005196759822229692,0.00920535577360287,0.015615729096968232,0.025662768326901116,0.006317957872444768,0.013725842522129104,0.03660374631699253
12,2.7428824,2.9914412,0.007800322174287658,0.0058079625592546485,0.010905306973669834,0.01952365522380059,0.019867123495706806,0.005571828674516358,0.013291539871132704,0.036443748782042276
13,2.9922353,3.2407941,0.009523793278742254,0.005639915580921479,0.009655506027842499,0.0187275011309452,0.02026785339894303,0.005568953849998974,0.013209439096659973,0.03671968479052341
14,3.2415882,3.4901471,0.010536739362386882,0.005984386387535175,0.009664496032056004,0.017251309640083364,0.027656365424308417,0.007097892611678906,0.01348518393402463,0.0360086100688721
15,3.4909412,3.7395,0.008961435755014997,0.005048533895483024,0.011718358495779303,0.026202359481172235,0.020692208092979423,0.006711337844691528,0.014305751182204637,0.03684196832789808
16,3.7402941,3.9888529,0.008454626622297899,0.005124173859592313,0.009120655693874767,0.01755137507817119,0.023821431451382085,0.006246742833444554,0.013426785665959394,0.03589571778165296
17,3.9896471,4.2382059,0.008467911132153848,0.006585448743177421,0.012505925595753429,0.018699932294226326,0.026719630124050032,0.00649655496590775,0.013114037558357789,0.036263608465898975
18,4.239,4.4875588,0.007807198915326767,0.0051425080654635665,0.010700651394347577,0.01968754592276399,0.017173357341573364,0.005322727392629688,0.013273569730424399,0.03557957402433049
19,4.4883529,4.7369118,0.007135851378797921,0.005095860752639679,0.008883476803654549,0.014748069379354021,0.025533174863037675,0.006109497143830451,0.013307746357694421,0.03586789297707475
20,4.7377059,4.9862647,0.005868728100376931,0.0061811799637910055,0.012961046152682468,0.022673265905721707,0.027631906585846196,0.0065881613323301395,0.013160521124016758,0.03634743185115221
21,4.9870588,5.2356176,0.007404838526307186,0.004691955784368347,0.01032379448990228,0.01970929792120451,0.016535695320217307,0.005688802875364356,0.013477082470864822,0.0369307458162998
22,5.2364118,5.4849706,0.00763130980395996,0.004943994923654864,0.009236221212805096,0.01626781062496863,0.026164594525125415,0.00690119085852423,0.013823327277576737,0.03665675733857864
23,5.4857647,5.7343235,0.0077339036917213385,0.005345048712659155,0.011123868823306867,0.022427628305662348,0.02154987169784271,0.0056780332896152344,0.013087615704794067,0.037810367018514014
24,5.7351176,5.9836765,0.008692095952914088,0.004608232656922722,0.009567484926611544,0.017094008239014802,0.0226566378777495,0.005805010089106874,0.013346795941992532,0.03615247629734893
25,5.9844706,6.2330294,0.007756701576154695,0.005475720703331539,0.011380633875613937,0.020848168760670097,0.029056446596193698,0.008023390720807983,0.013401961120328668,0.03688786432996733
26,6.2338235,6.4823824,0.008059663698236295,0.005357160294095988,0.009605901233929043,0.02179060956154318,0.017730415658020287,0.005706188750974355,0.013143098462411369,0.03611515613473117
27,6.4831765,6.7317353,0.009212722600269622,0.004643854423716724,0.007647073099781075,0.017952531986507467,0.024675514173027085,0.006241090071972014,0.013855917408000327,0.03641285369341752
28,6.7325294,6.9810882,0.008579466794200434,0.005600844759192048,0.010547345335761188,0.025541007726052545,0.02141485224917879,0.006145552010551851,0.01320773509100499,0.03585815185068922
29,6.9818824,7.2304412,0.007964290793775405,0.004932704677633905,0.01048697849414495,0.02408035188277541,0.018889400069693026,0.006215265307546073,0.013390629081164585,0.03628151591817534
30,7.2312353,7.4797941,0.008312219139118835,0.005060412234930906,0.009685031603255042,0.021685582496726204,0.027129989236608764,0.006600730943454681,0.013281927854503895,0.03507103325458606
31,7.4805882,7.7291471,0.008235433132770604,0.005800686289126108,0.011917742578295136,0.02627689118346116,0.01975847296674473,0.005761719208582867,0.0134840055726646,0.035829902656498186
32,7.7299412,7.9785,0.008081029438189205,0.004637382845843674,0.008329281820621528,0.020797903893852394,0.018013502458570443,0.006250623925877871,0.013295880059971402,0.035334870167965306
33,7.9792941,8.2278529,0.008901549998966262,0.00628156952267724,0.012101207330633211,0.019083500055999607,0.028577580415082068,0.007187167762377652,0.012814021794859283,0.03669638620418385
34,8.2286471,8.4772059,0.008244127628455753,0.00535570433989719,0.01201749172774991,0.02254081580259146,0.018170622788399066,0.005217814035061947,0.013147821551447817,0.035979220348350334
35,8.478,8.7265588,0.009441885251735116,0.0047938374024133765,0.010371046886192165,0.017358584044391782,0.023855491789486122,0.0053443750923427005,0.012721489931832223,0.0360834414184972
36,8.7273529,8.9759118,0.010063234256519978,0.006134657090874749,0.01338444068325654,0.02388290298754374,0.029406395823931272,0.005637566747733331,0.012781166052999799,0.03522871744256778
37,8.9767059,9.2252647,0.008786639474868282,0.0052774811149072995,0.014016447534116126,0.021768387819656704,0.018252377399894087,0.005323990248583607,0.013425508591366889,0.03569605698856715
38,9.2260588,9.4746176,0.01005708877160067,0.005548510646449203,0.009872473652872693,0.015697444871526082,0.028017546922850623,0.0069942872111030735,0.013434015311037622,0.036190302194760736
39,9.4754118,9.7239706,0.009852093681607351,0.006056039365255251,0.01301311602740762,0.025894845550944096,0.023958189944948666,0.006490602959966336,0.01374183136725113,0.03513446214087378
40,9.7247647,9.9733235,0.00902227536798056,0.005254638291600009,0.010611098648696023,0.02284239001493914,0.01944128500250135,0.005685009155017191,0.012736287184380048,0.03630045933726325
41,9.9741176,10.2226765,0.00908903656001629,0.005524306278367106,0.010705019002204223,0.018701664457954605,0.030820736567952933,0.0068246741133349935,0.013350732308890613,0.03657448652880185
42,10.2234706,10.4720294,0.008969156964330127,0.005604103091267876,0.012924832968486953,0.02332511395638514,0.022879987421619008,0.005867783641950454,0.013685008386962526,0.03580002962689065
43,10.4728235,10.7213824,0.009041228781125359,0.004717342139485165,0.009065255123731648,0.017338076731324627,0.01747139837849968,0.004816839724656637,0.012719657206244121,0.03505877908777133
44,10.7221765,10.9707353,0.006406716544155709,0.005566480375980359,0.011019349227748401,0.017550322351902264,0.017465477801778463,0.005679732468150973,0.013045342933356784,0.03494004305011657
45,10.9715294,11.2200882,0.007539817569671277,0.0050655986213598535,0.011954517013534043,0.01792362352109903,0.015542915414123223,0.005701600111638587,0.01343201986067552,0.0356984703170225
46,11.2208824,11.4694412,0.008646028275513773,0.004797257201518459,0.00819060877696392,0.012673067471801702,0.02233926217409267,0.006255867992300792,0.013797969144940248,0.03679879722633392
47,11.4702353,11.7187941,0.006884109219024982,0.005835441025833692,0.009359280176943286,0.017483008413166596,0.025501051185756962,0.005847144886253914,0.01315298999356519,0.035345223208616806
